@relation testset

@attribute class {BordaCo0,Stochas1,Stochas2,Copelan3,LocalKe4,PickAPe5}
@attribute CanberraDistanceMin numeric
@attribute CanberraDistanceMax numeric
@attribute CanberraDistanceMean numeric
@attribute CanberraDistanceStandardDeviation numeric
@attribute CanberraDistanceSkewness numeric
@attribute CanberraDistanceKurtosis numeric
@attribute KendallTauMin numeric
@attribute KendallTauMax numeric
@attribute KendallTauMean numeric
@attribute KendallTauStandardDeviation numeric
@attribute KendallTauSkewness numeric
@attribute KendallTauKurtosis numeric
@attribute CayleyDistanceMin numeric
@attribute CayleyDistanceMax numeric
@attribute CayleyDistanceMean numeric
@attribute CayleyDistanceStandardDeviation numeric
@attribute CayleyDistanceSkewness numeric
@attribute CayleyDistanceKurtosis numeric
@attribute LevenshteinDistanceMin numeric
@attribute LevenshteinDistanceMax numeric
@attribute LevenshteinDistanceMean numeric
@attribute LevenshteinDistanceStandardDeviation numeric
@attribute LevenshteinDistanceSkewness numeric
@attribute LevenshteinDistanceKurtosis numeric
@attribute LMaxMin numeric
@attribute LMaxMax numeric
@attribute LMaxMean numeric
@attribute LMaxStandardDeviation numeric
@attribute LMaxSkewness numeric
@attribute LMaxKurtosis numeric
@attribute LAbsMin numeric
@attribute LAbsMax numeric
@attribute LAbsMean numeric
@attribute LAbsStandardDeviation numeric
@attribute LAbsSkewness numeric
@attribute LAbsKurtosis numeric
@attribute LSquareMin numeric
@attribute LSquareMax numeric
@attribute LSquareMean numeric
@attribute LSquareStandardDeviation numeric
@attribute LSquareSkewness numeric
@attribute LSquareKurtosis numeric

@data
BordaCo0,0.535824,0.685906,0.613745,0.04409,-0.10171,0.088051,0.325,0.511392,0.413528,0.040486,0.077372,0.137277,0.898734,1,0.942405,0.023842,0.45943,0.069098,0.759494,0.848101,0.806329,0.026279,-0.133441,0.055217,0.721519,0.949367,0.852532,0.068433,-0.300496,0.14174,0.449375,0.650625,0.558281,0.049333,-0.204039,0.123691,0.495845,0.723695,0.609701,0.048318,-0.101006,0.172873
BordaCo0,0.529162,0.70967,0.603708,0.043466,0.532158,0.125764,0.352215,0.448418,0.39962,0.031108,0.097451,0.044908,0.835443,0.987342,0.932911,0.031289,-1.262932,0.170814,0.759494,0.822785,0.788608,0.018387,0.252532,0.040159,0.759494,0.962025,0.847468,0.064851,0.298852,0.114173,0.4825,0.63875,0.542875,0.042828,0.429981,0.09625,0.541817,0.651633,0.594417,0.038879,0.112249,0.056319
BordaCo0,0.58691,0.714242,0.643658,0.035383,0.183763,0.072843,0.372152,0.507911,0.429699,0.032585,0.083917,0.095364,0.911392,0.987342,0.946203,0.019964,-0.043013,0.054994,0.78481,0.835443,0.811392,0.015451,-0.026391,0.03083,0.759494,0.962025,0.856329,0.051461,0.159943,0.12361,0.5125,0.681875,0.586125,0.04325,0.239836,0.119654,0.557826,0.714642,0.627891,0.03949,-0.100242,0.103948
BordaCo0,0.525077,0.670286,0.606751,0.031617,-0.247613,0.113885,0.351899,0.445886,0.40163,0.025209,-0.229657,0.05803,0.886076,0.987342,0.946203,0.024307,-0.744063,0.080612,0.772152,0.848101,0.805063,0.021332,0.140408,0.041585,0.78481,0.987342,0.88481,0.050933,-0.152617,0.141043,0.476875,0.608125,0.542344,0.031428,0.115254,0.08517,0.534093,0.646296,0.595901,0.030638,-0.322079,0.069024
BordaCo0,0.493838,0.703254,0.601627,0.047947,0.157765,0.148837,0.338608,0.463608,0.402943,0.035638,-0.196709,0.073537,0.886076,0.987342,0.941772,0.02243,-0.401143,0.076965,0.734177,0.810127,0.789241,0.020905,-1.100398,0.075788,0.797468,0.974684,0.868354,0.053465,0.422977,0.108293,0.440625,0.625625,0.542281,0.046794,-0.173301,0.11798,0.522782,0.675808,0.598638,0.043789,-0.188397,0.08943
BordaCo0,0.519622,0.681607,0.608126,0.041105,-0.307441,0.096144,0.333861,0.45538,0.399984,0.035518,-0.255343,0.059769,0.873418,0.987342,0.947468,0.028382,-0.743766,0.090215,0.759494,0.822785,0.791772,0.017205,-0.224895,0.039054,0.683544,0.936709,0.832278,0.068737,-0.348597,0.16766,0.469375,0.60375,0.541813,0.045336,-0.224432,0.06464,0.509865,0.657283,0.593265,0.043907,-0.328485,0.073544
BordaCo0,0.527079,0.719265,0.621119,0.047421,0.025263,0.133118,0.341456,0.507911,0.414209,0.037825,0.634876,0.128032,0.873418,0.987342,0.935443,0.027704,-0.330236,0.068979,0.734177,0.835443,0.793038,0.031841,-0.431203,0.063445,0.721519,0.936709,0.858861,0.056365,-0.576797,0.159205,0.45875,0.67625,0.558875,0.051271,0.317206,0.151544,0.525688,0.719496,0.611744,0.043919,0.585882,0.146383
BordaCo0,0.558684,0.697399,0.61875,0.038703,0.553151,0.09619,0.346203,0.463608,0.410633,0.033351,-0.038498,0.064496,0.873418,1,0.943038,0.030353,-0.359007,0.080984,0.746835,0.835443,0.796203,0.019155,-0.436313,0.069248,0.721519,0.987342,0.846203,0.077441,-0.207466,0.152131,0.49,0.639375,0.558656,0.042841,0.206445,0.090106,0.519408,0.672007,0.60621,0.041062,-0.179105,0.088377
BordaCo0,0.541686,0.704292,0.620401,0.049704,0.037469,0.08894,0.34462,0.502215,0.411582,0.043896,0.115843,0.087125,0.873418,0.962025,0.920253,0.021593,-0.010878,0.064656,0.746835,0.835443,0.796203,0.022608,-0.323298,0.065033,0.696203,0.974684,0.833544,0.068199,0.241801,0.188752,0.473125,0.650625,0.556312,0.051076,0.011447,0.099343,0.528457,0.707297,0.60551,0.050291,0.100797,0.094748
BordaCo0,0.566178,0.692392,0.623506,0.036315,0.359856,0.064488,0.375949,0.469304,0.421329,0.028779,-0.179991,0.051988,0.886076,0.987342,0.943038,0.030088,-0.178706,0.062549,0.772152,0.835443,0.802532,0.018517,-0.042165,0.033282,0.759494,0.987342,0.85443,0.062591,0.568249,0.15975,0.51,0.624375,0.567187,0.0355,0.044634,0.062216,0.558561,0.673923,0.618206,0.035138,-0.291721,0.065179
BordaCo0,0.506296,0.679752,0.607857,0.038803,-0.498637,0.144098,0.336076,0.461392,0.404383,0.03095,-0.704658,0.101684,0.898734,0.974684,0.942405,0.023503,-0.671015,0.052111,0.759494,0.822785,0.798734,0.018732,-0.449874,0.040822,0.734177,0.987342,0.882911,0.054427,-0.55313,0.231799,0.455625,0.6225,0.543656,0.039042,-0.57683,0.133169,0.506706,0.665188,0.599399,0.038177,-0.884365,0.134701
BordaCo0,0.539986,0.672776,0.609044,0.040394,-0.158244,0.070729,0.343987,0.458228,0.403734,0.032749,-0.307584,0.07154,0.886076,0.974684,0.941772,0.025126,-0.484869,0.062734,0.734177,0.835443,0.796203,0.022608,-0.849843,0.089028,0.658228,1,0.870253,0.085185,-0.726027,0.259734,0.466875,0.62875,0.545844,0.045507,-0.147966,0.0957,0.520861,0.660795,0.598642,0.039688,-0.4362,0.094418
BordaCo0,0.548937,0.716089,0.617476,0.039144,0.411514,0.126617,0.336709,0.500949,0.411076,0.039283,0.323368,0.114539,0.860759,0.974684,0.935443,0.026218,-1.014227,0.111741,0.772152,0.848101,0.807595,0.019854,0.332784,0.045061,0.734177,0.974684,0.847468,0.068574,-0.036782,0.135013,0.475625,0.67625,0.556656,0.048047,0.5184,0.153793,0.51786,0.70675,0.605762,0.046668,0.180849,0.125661
BordaCo0,0.49323,0.690089,0.611305,0.052739,-0.587424,0.146151,0.312342,0.473101,0.400237,0.039324,-0.580893,0.119765,0.873418,0.974684,0.937342,0.027581,-0.789064,0.076006,0.759494,0.835443,0.796835,0.02316,-0.220054,0.043465,0.721519,0.987342,0.878481,0.060891,-0.591415,0.216927,0.43125,0.64125,0.544625,0.052035,-0.447639,0.145165,0.480979,0.680844,0.594185,0.047019,-0.625021,0.154351
BordaCo0,0.51775,0.723013,0.621931,0.053298,0.025717,0.119082,0.331646,0.492089,0.413829,0.041898,0.067385,0.091002,0.911392,1,0.94557,0.022679,0.559189,0.062106,0.746835,0.835443,0.798101,0.02316,-0.465701,0.065042,0.721519,0.974684,0.879114,0.069156,-0.872259,0.193536,0.4575,0.66625,0.56425,0.05852,0.096642,0.112372,0.50838,0.695929,0.611824,0.049818,-0.133199,0.107906
BordaCo0,0.494196,0.673416,0.615765,0.039571,-1.18624,0.199373,0.336392,0.481013,0.416661,0.034518,-0.707185,0.121582,0.898734,0.987342,0.953797,0.025086,-0.374736,0.060224,0.734177,0.835443,0.80443,0.022098,-1.43697,0.128831,0.683544,0.974684,0.86962,0.076799,-0.626622,0.219637,0.4425,0.623125,0.561094,0.042935,-0.89231,0.166383,0.510726,0.684938,0.612398,0.040892,-0.846864,0.149893
BordaCo0,0.524736,0.66889,0.606204,0.035212,-0.161974,0.094724,0.331646,0.443671,0.396187,0.02295,-0.694649,0.101818,0.873418,0.974684,0.933544,0.023298,-0.544328,0.074271,0.772152,0.835443,0.801266,0.017494,-0.093193,0.040548,0.759494,0.962025,0.856962,0.057744,0.289221,0.120407,0.44625,0.600625,0.538125,0.031101,-0.78718,0.157343,0.515819,0.644616,0.589942,0.027738,-0.642544,0.107545
BordaCo0,0.542815,0.668031,0.614097,0.032558,-0.133571,0.078337,0.356646,0.482278,0.408608,0.031391,0.473762,0.097851,0.911392,0.974684,0.941772,0.018945,0.014318,0.032272,0.759494,0.848101,0.8,0.020645,0.298733,0.064259,0.734177,1,0.874684,0.072263,-0.284216,0.149178,0.491875,0.6325,0.552156,0.040509,0.478648,0.095157,0.542509,0.685502,0.604527,0.036202,0.30153,0.109242
BordaCo0,0.543989,0.693974,0.611419,0.038828,0.151884,0.098427,0.343038,0.484494,0.406297,0.032891,0.10205,0.109313,0.898734,0.987342,0.941772,0.02243,-0.185475,0.061678,0.746835,0.822785,0.797468,0.021925,-0.92376,0.071621,0.734177,0.987342,0.867722,0.059705,-0.108874,0.180583,0.47,0.648125,0.54425,0.042427,0.381855,0.130979,0.525766,0.692925,0.601627,0.040085,-0.017082,0.129122
BordaCo0,0.54267,0.66187,0.621395,0.032076,-0.783852,0.094094,0.345253,0.454114,0.409082,0.031402,-0.683489,0.087417,0.886076,0.974684,0.941772,0.023816,-0.407178,0.058944,0.746835,0.822785,0.791139,0.018561,-0.618553,0.053052,0.708861,0.974684,0.86519,0.066413,-0.522038,0.213515,0.465,0.61,0.557406,0.0412,-0.841376,0.115712,0.529697,0.657042,0.60403,0.037047,-0.70112,0.097954
BordaCo0,0.533792,0.68871,0.62629,0.041311,-0.560162,0.105248,0.353797,0.50981,0.423434,0.040496,0.324144,0.098965,0.873418,0.987342,0.937342,0.026695,-0.19375,0.077664,0.759494,0.822785,0.80443,0.01855,-1.194701,0.07052,0.797468,0.974684,0.865823,0.047091,0.738583,0.139653,0.464375,0.67375,0.5665,0.051703,0.10338,0.129808,0.541308,0.712564,0.62119,0.046269,0.208636,0.101555
BordaCo0,0.526786,0.670035,0.606293,0.040105,-0.075155,0.086947,0.331329,0.470886,0.400744,0.039881,0.166308,0.082183,0.911392,0.962025,0.941139,0.013441,-0.23116,0.033767,0.772152,0.822785,0.802532,0.012273,-0.869027,0.036657,0.696203,0.974684,0.85443,0.076632,-0.566532,0.218793,0.461875,0.623125,0.543438,0.046215,0.092033,0.100803,0.506926,0.677834,0.593278,0.04894,0.128403,0.09893
BordaCo0,0.46925,0.674916,0.574994,0.064081,0.06764,0.111555,0.287975,0.474367,0.373734,0.053251,0.383812,0.098644,0.886076,0.974684,0.940506,0.022323,-0.351169,0.066986,0.746835,0.835443,0.782278,0.023203,0.49099,0.062091,0.797468,1,0.898734,0.056183,0.17155,0.120983,0.4,0.61125,0.504406,0.065743,0.296431,0.10816,0.459392,0.683722,0.562367,0.063503,0.392922,0.120711
BordaCo0,0.490641,0.711841,0.61812,0.051419,-0.277447,0.157239,0.319937,0.471519,0.406044,0.037922,-0.279836,0.096324,0.898734,0.962025,0.941772,0.018945,-0.701561,0.046771,0.759494,0.835443,0.799367,0.022741,0.343938,0.046756,0.658228,1,0.860127,0.078896,-0.610515,0.274105,0.43375,0.6575,0.556812,0.052154,-0.265915,0.149793,0.503108,0.678179,0.600876,0.044419,-0.271,0.111868
BordaCo0,0.538537,0.664106,0.604615,0.0339,-0.083931,0.07393,0.329747,0.465823,0.396044,0.035909,0.360719,0.090601,0.873418,0.987342,0.932911,0.025348,-0.182316,0.081608,0.772152,0.835443,0.798734,0.015961,0.26036,0.042274,0.721519,1,0.877215,0.066633,-0.154703,0.182212,0.46125,0.615,0.534938,0.043519,0.266783,0.092219,0.502992,0.672408,0.588262,0.043447,0.264619,0.114537
BordaCo0,0.532851,0.706229,0.619776,0.043327,0.028874,0.109885,0.364241,0.493987,0.414573,0.034842,0.606512,0.085446,0.886076,0.974684,0.937342,0.022811,-0.43355,0.061231,0.759494,0.835443,0.802532,0.018517,-0.712974,0.054147,0.683544,1,0.862658,0.082936,-0.603614,0.230494,0.49125,0.66375,0.560375,0.047608,0.489947,0.117247,0.542033,0.699717,0.609603,0.041393,0.472071,0.09461
BordaCo0,0.554618,0.696808,0.624109,0.041347,-0.098568,0.080765,0.347468,0.483861,0.416487,0.036098,-0.288963,0.08478,0.898734,1,0.946835,0.021029,-0.073278,0.084661,0.759494,0.835443,0.798101,0.022457,0.085556,0.04082,0.746835,0.949367,0.881646,0.055361,-0.903999,0.166161,0.469375,0.656875,0.563187,0.043901,-0.141422,0.120187,0.53497,0.689075,0.613614,0.042093,-0.375827,0.095852
BordaCo0,0.555267,0.709189,0.632826,0.040459,0.008515,0.090293,0.364557,0.514557,0.430016,0.039479,0.624182,0.098539,0.873418,0.987342,0.944937,0.027812,-0.62585,0.086514,0.759494,0.848101,0.80443,0.023503,-0.078853,0.049263,0.797468,1,0.88038,0.068222,0.439819,0.115094,0.5,0.669375,0.582187,0.049498,0.363897,0.099335,0.553777,0.719097,0.62939,0.045026,0.525082,0.104098
BordaCo0,0.551149,0.696246,0.604726,0.033848,0.812266,0.124026,0.358861,0.443671,0.400396,0.021258,0.166865,0.06612,0.886076,0.974684,0.933544,0.023976,-0.433225,0.061395,0.759494,0.835443,0.796203,0.022251,0.097207,0.047834,0.746835,0.987342,0.875316,0.055361,-0.312725,0.176021,0.484375,0.615625,0.540813,0.033182,0.434364,0.091602,0.544439,0.645261,0.595777,0.026197,-0.060932,0.074784
