@relation testset

@attribute class {BordaCo0,Stochas1,Stochas2,Copelan3,LocalKe4,PickAPe5}
@attribute hv0 numeric
@attribute hv1 numeric
@attribute hv2 numeric
@attribute hv3 numeric
@attribute hv4 numeric
@attribute hv5 numeric

@data
BordaCo0,0,0.87,0.01,1,0.897676,0.993253
BordaCo0,0,0.87,0.01,1,0.770983,0.917253
BordaCo0,0,0.87,0.01,1,0.968315,0.980332
BordaCo0,0,0.87,0.01,1,0.962305,0.80405
BordaCo0,0,0.87,0.01,1,0.982567,0.819682
BordaCo0,0,0.87,0.01,1,0.959094,0.910178
BordaCo0,0,0.87,0.01,1,0.955596,0.791519
BordaCo0,0,0.87,0.01,1,0.935073,0.900515
BordaCo0,0,0.87,0.01,1,0.959472,0.843649
BordaCo0,0,0.87,0.01,1,0.889894,0.946705
BordaCo0,0,0.87,0.01,1,0.950957,0.962636
BordaCo0,0,0.87,0.01,1,0.878625,0.839381
BordaCo0,0,0.87,0.01,1,0.77056,0.995953
BordaCo0,0,0.87,0.01,1,0.986287,0.820035
BordaCo0,0,0.87,0.01,1,0.964396,0.974534
BordaCo0,0,0.87,0.01,1,0.979237,0.857708
BordaCo0,0,0.87,0.01,1,0.947386,0.843246
BordaCo0,0,0.87,0.01,1,0.958208,0.775348
BordaCo0,0,0.87,0.01,1,0.9544,0.726937
BordaCo0,0,0.87,0.01,1,0.93832,0.943715
BordaCo0,0,0.87,0.01,1,0.958902,0.834175
BordaCo0,0,0.87,0.01,1,0.913227,0.960894
BordaCo0,0,0.87,0.01,1,0.70224,0.821935
BordaCo0,0,0.87,0.01,1,0.92662,0.894272
BordaCo0,0,0.87,0.01,1,0.977661,0.880214
BordaCo0,0,0.87,0.01,1,0.835208,0.952556
BordaCo0,0,0.87,0.01,1,0.967727,0.961726
BordaCo0,0,0.87,0.01,1,0.967639,0.99901
BordaCo0,0,0.87,0.01,1,0.943306,0.776676
BordaCo0,0,0.87,0.01,1,0.90985,0.790835
BordaCo0,0,0.87,0.01,1,0.857449,0.916094
BordaCo0,0,0.87,0.01,1,0.933192,0.969052
BordaCo0,0,0.87,0.01,1,0.975885,0.631809
BordaCo0,0,0.87,0.01,1,0.906345,0.972326
BordaCo0,0,0.87,0.01,1,0.862044,0.949693
BordaCo0,0,0.87,0.01,1,0.815178,0.971832
BordaCo0,0,0.87,0.01,1,0.777851,0.973289
BordaCo0,0,0.87,0.01,1,0.91742,0.981149
BordaCo0,0,0.87,0.01,1,0.843008,0.775834
BordaCo0,0,0.87,0.01,1,0.962264,0.966888
BordaCo0,0,0.87,0.01,1,0.734586,0.991111
BordaCo0,0,0.87,0.01,1,0.990847,0.972716
BordaCo0,0,0.87,0.01,1,0.801632,0.978699
BordaCo0,0,0.87,0.01,1,0.962941,0.866214
BordaCo0,0,0.87,0.01,1,0.987797,0.970981
BordaCo0,0,0.87,0.01,1,0.905563,0.875193
BordaCo0,0,0.87,0.01,1,0.965325,0.890498
BordaCo0,0,0.87,0.01,1,0.760559,0.913802
BordaCo0,0,0.87,0.01,1,0.802214,0.969924
BordaCo0,0,0.87,0.01,1,0.945411,0.966742
BordaCo0,0,0.87,0.01,1,0.917559,0.95977
BordaCo0,0,0.87,0.01,1,0.967145,0.946444
BordaCo0,0,0.87,0.01,1,0.747622,0.948225
BordaCo0,0,0.87,0.01,1,0.831349,0.914089
BordaCo0,0,0.87,0.01,1,0.841781,0.630498
BordaCo0,0,0.87,0.01,1,0.932143,0.969042
BordaCo0,0,0.87,0.01,1,0.956718,0.945613
BordaCo0,0,0.87,0.01,1,0.94292,0.925756
BordaCo0,0,0.87,0.01,1,0.935512,0.993339
BordaCo0,0,0.87,0.01,1,0.904008,0.983525
BordaCo0,0,0.87,0.01,1,0.898898,0.856152
BordaCo0,0,0.87,0.01,1,0.915032,0.829402
BordaCo0,0,0.87,0.01,1,0.891194,0.784129
BordaCo0,0,0.87,0.01,1,0.902224,0.981004
BordaCo0,0,0.87,0.01,1,0.982587,0.89581
BordaCo0,0,0.87,0.01,1,0.868822,0.940531
BordaCo0,0,0.87,0.01,1,0.964909,0.889244
BordaCo0,0,0.87,0.01,1,0.925811,0.882714
BordaCo0,0,0.87,0.01,1,0.999196,0.718713
BordaCo0,0,0.87,0.01,1,0.974516,0.874721
BordaCo0,0,0.87,0.01,1,0.845749,0.977796
BordaCo0,0,0.87,0.01,1,0.888474,0.830743
BordaCo0,0,0.87,0.01,1,0.911132,0.983534
BordaCo0,0,0.87,0.01,1,0.877728,0.748834
BordaCo0,0,0.87,0.01,1,0.875779,0.855315
BordaCo0,0,0.87,0.01,1,0.801713,0.93726
BordaCo0,0,0.87,0.01,1,0.820204,0.997581
BordaCo0,0,0.87,0.01,1,0.752385,0.991056
BordaCo0,0,0.87,0.01,1,0.794487,0.964014
