@relation testset

@attribute class {BordaCo0,Stochas1,Stochas2,Copelan3,LocalKe4,PickAPe5}
@attribute Min numeric
@attribute Max numeric
@attribute Mean numeric
@attribute StandardDeviation numeric
@attribute Skewness numeric
@attribute Kurtosis numeric

@data
BordaCo0,0,79,26.209474,18.924196,0.558703,45.093862
BordaCo0,0,79,25.61,19.017579,0.589902,46.460823
BordaCo0,0,79,26.635395,18.871441,0.526553,44.486789
BordaCo0,0,79,25.646579,19.007138,0.585658,46.117322
BordaCo0,0,79,25.958553,18.722,0.580782,45.920233
BordaCo0,0,79,25.739605,18.792327,0.611327,46.661693
BordaCo0,0,79,26.065132,19.072148,0.568711,45.576514
BordaCo0,0,79,26.038684,18.953293,0.548956,45.211597
BordaCo0,0,79,25.988421,18.807949,0.55558,45.075764
BordaCo0,0,79,26.339079,18.993417,0.571579,45.960447
BordaCo0,0,79,25.867895,18.935206,0.61395,46.971685
BordaCo0,0,79,25.801184,19.010574,0.576,45.908053
BordaCo0,0,79,26.150526,18.870287,0.555039,45.23357
BordaCo0,0,79,25.791053,18.849215,0.585908,46.146285
BordaCo0,0,79,26.126974,19.050109,0.591117,46.072611
BordaCo0,0,79,26.221842,18.954322,0.580083,45.95187
BordaCo0,0,79,25.754211,18.617486,0.59541,46.216727
BordaCo0,0,79,25.961842,18.915557,0.567174,45.8513
BordaCo0,0,79,25.838421,19.080065,0.577477,45.948452
BordaCo0,0,79,26.128816,18.805234,0.570358,45.511354
BordaCo0,0,79,26.407632,19.045417,0.553949,45.462019
BordaCo0,0,79,25.884342,18.754366,0.569401,45.359213
BordaCo0,0,79,24.438158,19.225209,0.658469,49.156201
BordaCo0,0,79,25.970921,18.866493,0.580997,45.838816
BordaCo0,0,79,25.632237,18.777058,0.594341,46.207506
BordaCo0,0,79,26.164605,18.962217,0.555036,45.44873
BordaCo0,0,79,26.254211,18.915101,0.580951,45.749426
BordaCo0,0,79,26.680132,18.933041,0.546991,45.077728
BordaCo0,0,79,25.679605,19.041785,0.596207,46.351418
BordaCo0,0,79,26.055526,19.112119,0.572934,46.06568
BordaCo0,0,79,26.025921,19.018464,0.573614,46.299799
BordaCo0,0,79,26.043816,19.00588,0.593251,46.397938
BordaCo0,0,79,24.764737,18.99766,0.632512,47.021409
BordaCo0,0,79,26.479211,18.92493,0.5505,44.820632
BordaCo0,0,79,26.021711,18.959352,0.574812,45.933523
BordaCo0,0,79,26.199868,18.986087,0.574874,45.651124
BordaCo0,0,79,25.749079,19.384409,0.604571,46.596266
BordaCo0,0,79,26.209605,18.839901,0.587566,46.002744
BordaCo0,0,79,25.284211,18.960905,0.590052,46.118161
BordaCo0,0,79,26.356447,18.971205,0.579784,46.050146
BordaCo0,0,79,25.429342,18.87262,0.575807,45.255792
BordaCo0,0,79,26.512632,18.957177,0.572203,45.673249
BordaCo0,0,79,26.276711,19.079964,0.561548,45.508467
BordaCo0,0,79,25.939868,18.78408,0.587659,45.664176
BordaCo0,0,79,26.274211,18.960574,0.580575,45.512662
BordaCo0,0,79,25.760921,18.791335,0.579482,45.48356
BordaCo0,0,79,26.176974,18.968932,0.585904,46.193783
BordaCo0,0,79,25.629079,19.083278,0.595129,46.5669
BordaCo0,0,79,26.113684,18.946968,0.566146,45.611596
BordaCo0,0,79,26.259868,19.02779,0.595412,46.147596
BordaCo0,0,79,26.433289,18.925412,0.55365,45.174744
BordaCo0,0,79,26.225526,18.838254,0.573782,45.561469
BordaCo0,0,79,25.994342,18.988663,0.553053,45.201091
BordaCo0,0,79,25.862105,18.950359,0.564581,44.937134
BordaCo0,0,79,24.659737,19.140189,0.625455,47.330689
BordaCo0,0,79,26.117895,18.798069,0.576633,45.401143
BordaCo0,0,79,25.941711,18.881449,0.578953,45.532554
BordaCo0,0,79,26.1825,18.93575,0.590324,46.466303
BordaCo0,0,79,26.148421,18.939883,0.556287,44.837918
BordaCo0,0,79,26.203684,18.891625,0.571222,45.62376
BordaCo0,0,79,25.769737,18.871445,0.56767,45.219153
BordaCo0,0,79,25.975526,19.006801,0.582338,45.998455
BordaCo0,0,79,25.577763,18.901093,0.59538,46.689947
BordaCo0,0,79,25.940132,18.691216,0.581294,45.492061
BordaCo0,0,79,26.107895,18.751725,0.55825,44.974773
BordaCo0,0,79,26.365263,19.084652,0.577096,46.414371
BordaCo0,0,79,26.316316,18.958579,0.57668,45.891914
BordaCo0,0,79,26.184605,18.968121,0.569587,45.537776
BordaCo0,0,79,25.888421,18.957391,0.579117,45.596278
BordaCo0,0,79,26.249079,18.899097,0.56861,45.452277
BordaCo0,0,79,25.989211,18.89615,0.596697,46.518687
BordaCo0,0,79,25.918816,18.85827,0.574917,46.203652
BordaCo0,0,79,25.933684,18.975183,0.582088,45.561502
BordaCo0,0,79,25.114605,18.872729,0.617308,46.930825
BordaCo0,0,79,25.707105,18.873652,0.596429,46.348632
BordaCo0,0,78,25.753289,18.892269,0.587041,46.032277
BordaCo0,0,79,25.977237,18.966061,0.568627,45.371068
BordaCo0,0,79,25.970789,18.98127,0.553388,45.250251
BordaCo0,0,79,25.493684,18.888561,0.59969,46.175094
BordaCo0,0,79,26.294211,19.086686,0.58072,46.247229
BordaCo0,0,79,25.830658,18.920207,0.548669,45.291645
BordaCo0,0,79,26.339079,19.253732,0.565236,46.029834
BordaCo0,0,79,26.254079,18.809661,0.56521,44.902113
BordaCo0,0,79,26.153026,18.751414,0.582375,45.444429
BordaCo0,0,79,24.679211,18.914221,0.638976,48.015744
BordaCo0,0,78,26.079211,18.876727,0.573955,45.892891
BordaCo0,0,79,26.438289,19.0235,0.545249,45.287649
BordaCo0,0,79,26.210263,18.972816,0.584245,45.827497
BordaCo0,0,79,26.097895,19.084363,0.576721,46.181391
BordaCo0,0,79,26.321316,19.111791,0.554231,45.126008
BordaCo0,0,79,25.584211,18.942087,0.598257,46.345906
BordaCo0,0,79,26.664737,18.946909,0.552409,45.361096
BordaCo0,0,79,26.167895,18.834706,0.56918,45.209354
BordaCo0,0,79,25.821447,18.730336,0.587714,46.023757
BordaCo0,0,79,26.273947,18.840032,0.56643,45.830242
BordaCo0,0,79,26.085526,19.090775,0.579825,46.110017
BordaCo0,0,79,26.265395,19.194595,0.570952,45.712128
BordaCo0,0,79,25.416711,18.997871,0.581444,46.114789
BordaCo0,0,79,26.074605,18.911566,0.58083,46.140623
BordaCo0,0,79,25.763947,18.893791,0.558036,44.79372
BordaCo0,0,79,26.394868,18.977358,0.561874,45.397071
BordaCo0,0,79,26.302632,19.047962,0.577403,45.838709
BordaCo0,0,79,25.957632,19.006167,0.580518,45.964155
BordaCo0,0,79,26.048289,19.026385,0.567563,46.094715
BordaCo0,0,79,25.981974,18.895187,0.587788,46.199475
BordaCo0,0,79,25.910921,19.094993,0.575932,45.606285
BordaCo0,0,79,24.589605,18.732342,0.603161,46.52707
BordaCo0,0,79,25.877763,18.918567,0.570676,45.690142
