@relation testset

@attribute class {BordaCo0,Stochas1,Stochas2,Copelan3,LocalKe4,PickAPe5}
@attribute CanberraDistanceMin numeric
@attribute CanberraDistanceMax numeric
@attribute CanberraDistanceMean numeric
@attribute CanberraDistanceStandardDeviation numeric
@attribute CanberraDistanceSkewness numeric
@attribute CanberraDistanceKurtosis numeric
@attribute KendallTauMin numeric
@attribute KendallTauMax numeric
@attribute KendallTauMean numeric
@attribute KendallTauStandardDeviation numeric
@attribute KendallTauSkewness numeric
@attribute KendallTauKurtosis numeric
@attribute CayleyDistanceMin numeric
@attribute CayleyDistanceMax numeric
@attribute CayleyDistanceMean numeric
@attribute CayleyDistanceStandardDeviation numeric
@attribute CayleyDistanceSkewness numeric
@attribute CayleyDistanceKurtosis numeric
@attribute LevenshteinDistanceMin numeric
@attribute LevenshteinDistanceMax numeric
@attribute LevenshteinDistanceMean numeric
@attribute LevenshteinDistanceStandardDeviation numeric
@attribute LevenshteinDistanceSkewness numeric
@attribute LevenshteinDistanceKurtosis numeric
@attribute LMaxMin numeric
@attribute LMaxMax numeric
@attribute LMaxMean numeric
@attribute LMaxStandardDeviation numeric
@attribute LMaxSkewness numeric
@attribute LMaxKurtosis numeric
@attribute LAbsMin numeric
@attribute LAbsMax numeric
@attribute LAbsMean numeric
@attribute LAbsStandardDeviation numeric
@attribute LAbsSkewness numeric
@attribute LAbsKurtosis numeric
@attribute LSquareMin numeric
@attribute LSquareMax numeric
@attribute LSquareMean numeric
@attribute LSquareStandardDeviation numeric
@attribute LSquareSkewness numeric
@attribute LSquareKurtosis numeric

@data
BordaCo0,0.562051,0.793342,0.693587,0.039456,-0.083395,0.119961,0.371519,0.600316,0.493463,0.040543,-0.093093,0.122404,0.848101,1,0.93491,0.027841,-0.377212,0.091026,0.759494,0.873418,0.822585,0.019284,-0.482485,0.061955,0.696203,1,0.912125,0.051478,-0.809027,0.202021,0.50125,0.79375,0.655237,0.048871,-0.06138,0.149297,0.552294,0.802444,0.698594,0.043764,-0.322911,0.139919
BordaCo0,0.552153,0.791752,0.68403,0.037857,-0.31317,0.136316,0.33481,0.613924,0.484773,0.039651,-0.122594,0.14954,0.835443,0.974684,0.918721,0.028576,-0.274787,0.076426,0.772152,0.873418,0.815723,0.019326,-0.058857,0.054812,0.746835,1,0.908128,0.048804,-0.613493,0.147696,0.46875,0.77625,0.64025,0.046523,-0.16307,0.170367,0.5113,0.814664,0.689399,0.042145,-0.395129,0.179656
BordaCo0,0.586768,0.819144,0.702494,0.040072,-0.20648,0.120854,0.402848,0.589873,0.499545,0.037577,-0.104216,0.105822,0.860759,0.987342,0.942905,0.025737,-0.471296,0.074192,0.759494,0.860759,0.82505,0.02106,-0.497638,0.059523,0.759494,1,0.911592,0.050724,-0.591171,0.151391,0.5325,0.805,0.665885,0.046701,-0.152857,0.142884,0.599069,0.799811,0.705685,0.039698,-0.252381,0.116431
BordaCo0,0.541771,0.806028,0.683988,0.04507,-0.168616,0.142242,0.390506,0.572152,0.484609,0.038173,-0.087181,0.099672,0.848101,0.987342,0.921586,0.028152,0.027482,0.077239,0.734177,0.873418,0.817388,0.022912,-0.225597,0.080291,0.696203,1,0.908861,0.050968,-0.842221,0.228283,0.516875,0.766875,0.641164,0.050403,-0.075631,0.135871,0.583067,0.77779,0.689962,0.041126,-0.2674,0.112993
BordaCo0,0.565406,0.79762,0.690964,0.042729,-0.057767,0.129263,0.372152,0.599367,0.486536,0.03997,0.070576,0.110307,0.835443,1,0.933111,0.028105,-0.283229,0.097772,0.759494,0.860759,0.819454,0.020796,-0.301063,0.060169,0.759494,1,0.910859,0.05038,-0.630618,0.152491,0.503125,0.785,0.648964,0.05049,0.124838,0.145166,0.559661,0.807069,0.691694,0.042455,-0.052759,0.118855
BordaCo0,0.569908,0.808789,0.685397,0.041097,-0.057628,0.12085,0.371519,0.589873,0.484162,0.038645,-0.009457,0.109564,0.860759,1,0.936775,0.025366,-0.234826,0.065787,0.746835,0.860759,0.820386,0.019549,-0.418798,0.077191,0.759494,1,0.918521,0.052919,-0.492643,0.146162,0.509375,0.794375,0.64349,0.048005,-0.017807,0.137758,0.55834,0.801948,0.688794,0.041678,-0.155829,0.120897
BordaCo0,0.592453,0.794384,0.691536,0.040083,-0.022213,0.103442,0.40981,0.599367,0.492402,0.037728,0.118057,0.096993,0.822785,0.987342,0.926183,0.029395,-0.441548,0.100629,0.759494,0.873418,0.823185,0.022227,-0.322277,0.063651,0.746835,1,0.910859,0.052591,-0.636852,0.165284,0.554375,0.77125,0.651628,0.047501,0.12898,0.117724,0.604125,0.804712,0.69817,0.040079,-0.023076,0.103721
BordaCo0,0.580593,0.809872,0.69292,0.042304,-0.305205,0.127564,0.376899,0.59462,0.490776,0.039151,-0.044683,0.128426,0.848101,0.987342,0.927515,0.0245,-0.467685,0.079667,0.734177,0.873418,0.821719,0.021744,-0.666866,0.091607,0.734177,1,0.908861,0.050919,-0.320033,0.142214,0.515,0.79,0.650967,0.049401,-0.135031,0.159168,0.563179,0.802021,0.696084,0.041826,-0.269366,0.142475
BordaCo0,0.573813,0.783983,0.693885,0.038018,-0.001341,0.098932,0.392722,0.592405,0.487935,0.038494,0.112888,0.097777,0.873418,1,0.933644,0.025596,0.060441,0.068027,0.759494,0.860759,0.819121,0.019847,-0.301461,0.053362,0.734177,1,0.905463,0.052987,-0.486413,0.158459,0.545625,0.761875,0.649711,0.047018,0.191567,0.109386,0.588758,0.799437,0.693412,0.040781,0.034218,0.10172
BordaCo0,0.585101,0.794022,0.697987,0.036573,-0.273589,0.118688,0.388291,0.593987,0.496126,0.036164,-0.200587,0.108011,0.822785,1,0.936043,0.027846,-0.564983,0.11177,0.759494,0.873418,0.822851,0.02132,-0.285861,0.066823,0.759494,1,0.921319,0.042878,-0.641259,0.155312,0.533125,0.7575,0.658477,0.044117,-0.315697,0.127576,0.590408,0.799987,0.702079,0.038177,-0.335552,0.115367
BordaCo0,0.600649,0.799068,0.688295,0.038747,0.159367,0.103853,0.408861,0.601266,0.487397,0.038617,0.248779,0.107027,0.848101,0.987342,0.935177,0.029618,-0.593649,0.094424,0.746835,0.873418,0.817655,0.022188,-0.418813,0.067982,0.759494,1,0.919987,0.045579,-0.36167,0.132297,0.544375,0.779375,0.646697,0.046807,0.227904,0.128731,0.600145,0.804683,0.69292,0.04082,0.112991,0.108615
BordaCo0,0.561429,0.782495,0.686478,0.037886,-0.059181,0.114349,0.369304,0.586076,0.487618,0.037413,-0.248786,0.126607,0.835443,0.974684,0.923917,0.026647,-0.446506,0.083244,0.759494,0.860759,0.818721,0.019206,-0.279366,0.056652,0.78481,1,0.91479,0.048483,-0.5093,0.121729,0.49125,0.765,0.64503,0.046962,-0.166159,0.159524,0.5507,0.787614,0.692766,0.040059,-0.444513,0.144471
