@relation testset

@attribute class {BordaCo0,Stochas1,Stochas2,Copelan3,LocalKe4,PickAPe5}
@attribute CanberraDistanceMin numeric
@attribute CanberraDistanceMax numeric
@attribute CanberraDistanceMean numeric
@attribute CanberraDistanceStandardDeviation numeric
@attribute CanberraDistanceSkewness numeric
@attribute CanberraDistanceKurtosis numeric
@attribute KendallTauMin numeric
@attribute KendallTauMax numeric
@attribute KendallTauMean numeric
@attribute KendallTauStandardDeviation numeric
@attribute KendallTauSkewness numeric
@attribute KendallTauKurtosis numeric
@attribute CayleyDistanceMin numeric
@attribute CayleyDistanceMax numeric
@attribute CayleyDistanceMean numeric
@attribute CayleyDistanceStandardDeviation numeric
@attribute CayleyDistanceSkewness numeric
@attribute CayleyDistanceKurtosis numeric
@attribute LevenshteinDistanceMin numeric
@attribute LevenshteinDistanceMax numeric
@attribute LevenshteinDistanceMean numeric
@attribute LevenshteinDistanceStandardDeviation numeric
@attribute LevenshteinDistanceSkewness numeric
@attribute LevenshteinDistanceKurtosis numeric
@attribute LMaxMin numeric
@attribute LMaxMax numeric
@attribute LMaxMean numeric
@attribute LMaxStandardDeviation numeric
@attribute LMaxSkewness numeric
@attribute LMaxKurtosis numeric
@attribute LAbsMin numeric
@attribute LAbsMax numeric
@attribute LAbsMean numeric
@attribute LAbsStandardDeviation numeric
@attribute LAbsSkewness numeric
@attribute LAbsKurtosis numeric
@attribute LSquareMin numeric
@attribute LSquareMax numeric
@attribute LSquareMean numeric
@attribute LSquareStandardDeviation numeric
@attribute LSquareSkewness numeric
@attribute LSquareKurtosis numeric

@data
BordaCo0,0.139162,0.301755,0.20209,0.046225,0.922985,0.122745,0.044937,0.121519,0.080174,0.022925,0.229282,0.043122,0.721519,0.962025,0.843671,0.057491,-0.063492,0.169954,0.468354,0.658228,0.572152,0.047968,-0.298144,0.122527,0.126582,0.518987,0.297468,0.108115,0.056093,0.220179,0.070625,0.178125,0.119688,0.032595,0.291256,0.060254,0.077993,0.213058,0.139079,0.039111,0.228938,0.073519
BordaCo0,0.246726,0.342579,0.311898,0.025738,-1.064044,0.090671,0.122152,0.181962,0.149921,0.015185,0.14983,0.035878,0.835443,0.936709,0.894304,0.032092,-0.377915,0.064621,0.632911,0.721519,0.677848,0.025779,-0.232018,0.061957,0.303797,0.924051,0.548101,0.169974,0.678629,0.405618,0.1775,0.25125,0.216719,0.020094,-0.037683,0.042284,0.205868,0.322612,0.252426,0.030141,0.32989,0.078599
BordaCo0,0.340007,0.565213,0.429748,0.061533,0.343421,0.139317,0.156646,0.332911,0.238323,0.053089,0.059247,0.098145,0.848101,0.974684,0.924051,0.030485,-0.536932,0.093884,0.696203,0.797468,0.744937,0.027812,0.021284,0.063887,0.405063,0.949367,0.674684,0.153478,0.16896,0.3024,0.2275,0.479375,0.336531,0.071944,0.139337,0.145006,0.244321,0.522692,0.376212,0.082196,0.026308,0.149641
BordaCo0,0.054125,0.111479,0.08666,0.015889,-0.368111,0.0326,0.017089,0.035759,0.025285,0.005078,0.687023,0.012566,0.506329,0.772152,0.65443,0.06747,-0.189555,0.151896,0.291139,0.506329,0.38038,0.056393,0.479212,0.13979,0.050633,0.303797,0.128481,0.056222,1.49929,0.30148,0.029375,0.05875,0.042719,0.007252,0.467423,0.019385,0.035578,0.073745,0.052047,0.010341,0.653145,0.026947
BordaCo0,0.166897,0.273047,0.218762,0.033115,0.165146,0.050944,0.057595,0.118671,0.087832,0.018612,-0.022033,0.035149,0.797468,0.924051,0.855063,0.034776,0.097914,0.068735,0.518987,0.658228,0.593671,0.038789,-0.061931,0.083023,0.151899,0.468354,0.306962,0.074659,-0.193276,0.217448,0.088125,0.1725,0.130781,0.026568,0.00245,0.047274,0.098035,0.207315,0.151188,0.031569,-0.089681,0.065422
BordaCo0,0.346529,0.493455,0.43972,0.037496,-0.618105,0.104009,0.202215,0.293671,0.253212,0.027316,-0.153635,0.047322,0.873418,1,0.928481,0.028382,0.277507,0.09574,0.708861,0.772152,0.739241,0.023478,0.063947,0.032575,0.493671,0.924051,0.775316,0.118331,-0.460769,0.302023,0.2825,0.41125,0.355688,0.03843,-0.229523,0.068352,0.331465,0.466154,0.403009,0.044255,-0.048217,0.067053
BordaCo0,0.178281,0.268265,0.220017,0.028826,0.023764,0.042193,0.070253,0.110127,0.090839,0.012125,-0.047248,0.020567,0.78481,0.886076,0.843671,0.031077,-0.586444,0.066511,0.518987,0.658228,0.592405,0.03725,-0.21566,0.082464,0.189873,0.56962,0.36519,0.094918,0.310837,0.268172,0.105625,0.15875,0.1335,0.015931,-0.232495,0.027942,0.111357,0.194721,0.158856,0.022537,-0.232967,0.045958
BordaCo0,0.370739,0.592021,0.478451,0.064735,0.204643,0.124157,0.189241,0.367405,0.282199,0.057841,0.01579,0.095048,0.860759,0.962025,0.920886,0.024635,-0.460417,0.076646,0.696203,0.797468,0.748734,0.025086,-0.285316,0.06042,0.531646,0.974684,0.774051,0.114084,-0.151769,0.279939,0.265625,0.513125,0.392219,0.080225,0.04368,0.13228,0.310713,0.566737,0.442826,0.082193,0.008442,0.138665
BordaCo0,0.482345,0.670158,0.557016,0.047758,0.891801,0.181679,0.308544,0.458544,0.366424,0.036291,0.845724,0.127018,0.898734,1,0.950633,0.026822,0.089551,0.063449,0.746835,0.822785,0.787975,0.019964,-0.109922,0.049186,0.708861,0.949367,0.831646,0.06888,-0.141656,0.14326,0.42,0.626875,0.499219,0.049864,0.912684,0.185366,0.479784,0.662973,0.55289,0.044438,0.653468,0.142587
BordaCo0,0.176361,0.263267,0.222409,0.025043,0.020788,0.052014,0.066772,0.116139,0.090301,0.014493,0.144784,0.028188,0.822785,0.949367,0.868987,0.036528,0.675658,0.086516,0.531646,0.670886,0.611392,0.037996,-0.245369,0.08209,0.189873,0.493671,0.310759,0.085523,0.676264,0.224016,0.101875,0.166875,0.134531,0.019222,-0.136495,0.035182,0.112977,0.208555,0.154144,0.025129,0.329417,0.057776
BordaCo0,0.1608,0.344008,0.250244,0.050796,-0.084326,0.106298,0.060759,0.165506,0.109146,0.029783,-0.054179,0.054844,0.759494,0.949367,0.874684,0.045092,-0.314297,0.14959,0.544304,0.734177,0.632911,0.055031,0.146046,0.105328,0.21519,0.64557,0.377215,0.1249,0.584309,0.277663,0.09,0.241875,0.160844,0.04169,-0.079984,0.08005,0.108424,0.271195,0.184392,0.047226,-0.055625,0.082056
BordaCo0,0.158226,0.231101,0.199829,0.018517,-0.497698,0.046858,0.06519,0.095886,0.079193,0.008263,0.129512,0.017583,0.734177,0.886076,0.822152,0.043015,-0.484649,0.091282,0.531646,0.620253,0.574684,0.02448,0.29698,0.054336,0.177215,0.531646,0.324051,0.092881,0.460371,0.210029,0.096875,0.13625,0.117844,0.011317,0.078541,0.025827,0.109713,0.16465,0.140454,0.016475,-0.151425,0.031113
BordaCo0,0.130639,0.37909,0.238575,0.070815,0.227868,0.141452,0.041772,0.185443,0.106519,0.043038,0.133708,0.08526,0.670886,0.936709,0.850633,0.069747,-0.961387,0.224418,0.481013,0.734177,0.617089,0.067324,-0.259347,0.146524,0.164557,0.835443,0.388608,0.172779,0.794404,0.548825,0.063125,0.276875,0.155031,0.061013,0.182247,0.126905,0.072705,0.296408,0.181587,0.067607,-0.022026,0.130633
BordaCo0,0.185722,0.319351,0.24821,0.035153,0.1403,0.08806,0.074684,0.149684,0.107801,0.020166,0.408783,0.0475,0.822785,0.962025,0.872785,0.038493,0.740976,0.094292,0.582278,0.683544,0.629747,0.027984,0.012147,0.05933,0.177215,0.721519,0.413924,0.118819,0.482583,0.420114,0.1175,0.21125,0.157406,0.026775,0.368499,0.060802,0.126948,0.247704,0.18481,0.033045,0.160572,0.067004
BordaCo0,0.419037,0.617988,0.521476,0.042122,0.055443,0.155066,0.229114,0.424367,0.329035,0.047007,0.130074,0.127075,0.886076,0.974684,0.937342,0.026393,-0.132628,0.054914,0.708861,0.822785,0.775949,0.028614,-0.5563,0.076208,0.594937,1,0.822785,0.107035,-0.515558,0.25921,0.32375,0.56125,0.454562,0.055767,-0.096728,0.167446,0.354629,0.627198,0.503758,0.065303,-0.074898,0.182198
BordaCo0,0.480896,0.591574,0.535325,0.033774,-0.237895,0.067441,0.289557,0.39462,0.343481,0.027461,-0.26237,0.063778,0.911392,0.974684,0.944304,0.019363,-0.315127,0.041103,0.759494,0.822785,0.791139,0.014708,-0.095629,0.042065,0.670886,0.974684,0.816456,0.08747,0.023185,0.176225,0.40875,0.541875,0.472469,0.034838,-0.120646,0.080189,0.456333,0.594326,0.523579,0.034523,-0.076808,0.085901
BordaCo0,0.358429,0.577934,0.496289,0.058904,-0.616736,0.151843,0.208544,0.414557,0.313006,0.056758,-0.261289,0.13105,0.886076,0.949367,0.927848,0.019239,-0.599847,0.04136,0.708861,0.810127,0.760127,0.026994,-0.250812,0.059742,0.518987,0.987342,0.787975,0.120942,-0.493041,0.301549,0.285,0.553125,0.431594,0.074326,-0.307357,0.167542,0.337005,0.617424,0.483892,0.077148,-0.492845,0.19742
BordaCo0,0.354955,0.489195,0.408805,0.031804,0.467281,0.100434,0.166772,0.263608,0.218655,0.024329,-0.184965,0.068036,0.873418,0.974684,0.925949,0.02723,-0.19446,0.067632,0.670886,0.759494,0.722785,0.022251,-0.207669,0.059579,0.468354,0.936709,0.672152,0.136033,0.130971,0.249791,0.24125,0.373125,0.31225,0.034555,-0.246862,0.088426,0.274524,0.412717,0.353346,0.038851,-0.219798,0.086231
BordaCo0,0.161875,0.305623,0.228789,0.039957,0.263375,0.081852,0.070886,0.139557,0.098766,0.021528,0.598315,0.050022,0.78481,0.949367,0.859494,0.041193,0.054494,0.105753,0.506329,0.670886,0.607595,0.042926,-0.961578,0.155443,0.227848,0.848101,0.387975,0.150483,1.366443,0.740673,0.106875,0.205,0.145219,0.027722,0.54537,0.06484,0.121812,0.248884,0.172066,0.038091,0.465514,0.078653
