@relation testset

@attribute class {BordaCo0,Stochas1,Stochas2,Copelan3,LocalKe4,PickAPe5}
@attribute hv0 numeric
@attribute hv1 numeric
@attribute hv2 numeric
@attribute hv3 numeric
@attribute hv4 numeric
@attribute hv5 numeric

@data
BordaCo0,2,0.87,0.01,1,0.1471,0.042351
BordaCo0,2,0.87,0.01,1,0.193855,0.182126
BordaCo0,2,0.87,0.01,1,0.543437,0.139746
BordaCo0,2,0.87,0.01,1,0.012842,0.028124
BordaCo0,2,0.87,0.01,1,0.060773,0.143976
BordaCo0,2,0.87,0.01,1,0.295467,0.391014
BordaCo0,2,0.87,0.01,1,0.12521,0.079311
BordaCo0,2,0.87,0.01,1,0.236558,0.612183
BordaCo0,2,0.87,0.01,1,0.806775,0.529941
BordaCo0,2,0.87,0.01,1,0.07342,0.128798
BordaCo0,2,0.87,0.01,1,0.063248,0.203817
BordaCo0,2,0.87,0.01,1,0.078206,0.102335
BordaCo0,2,0.87,0.01,1,0.017439,0.247352
BordaCo0,2,0.87,0.01,1,0.082799,0.166441
BordaCo0,2,0.87,0.01,1,0.370952,0.731667
BordaCo0,2,0.87,0.01,1,0.547983,0.701095
BordaCo0,2,0.87,0.01,1,0.784691,0.293115
BordaCo0,2,0.87,0.01,1,0.236427,0.356842
BordaCo0,2,0.87,0.01,1,0.078588,0.148209
BordaCo0,2,0.87,0.01,1,0.712825,0.895756
BordaCo0,2,0.87,0.01,1,0.117068,0.540273
BordaCo0,2,0.87,0.01,1,0.250882,0.516822
BordaCo0,2,0.87,0.01,1,0.272704,0.088322
BordaCo0,2,0.87,0.01,1,0.048187,0.079401
BordaCo0,2,0.87,0.01,1,0.189532,0.318594
BordaCo0,2,0.87,0.01,1,0.201063,0.24588
BordaCo0,2,0.87,0.01,1,0.220006,0.550451
BordaCo0,2,0.87,0.01,1,0.072614,0.120173
BordaCo0,2,0.87,0.01,1,0.333341,0.227706
BordaCo0,2,0.87,0.01,1,0.424768,0.418321
BordaCo0,2,0.87,0.01,1,0.083952,0.180992
BordaCo0,2,0.87,0.01,1,0.556942,0.895716
BordaCo0,2,0.87,0.01,1,0.761851,0.818168
BordaCo0,2,0.87,0.01,1,0.617195,0.43645
BordaCo0,2,0.87,0.01,1,0.049289,0.549992
BordaCo0,2,0.87,0.01,1,0.715359,0.975063
BordaCo0,2,0.87,0.01,1,0.04767,0.196514
BordaCo0,2,0.87,0.01,1,0.171733,0.087159
BordaCo0,2,0.87,0.01,1,0.047093,0.083969
BordaCo0,2,0.87,0.01,1,0.144612,0.467024
BordaCo0,2,0.87,0.01,1,0.184397,0.111655
BordaCo0,2,0.87,0.01,1,0.085288,0.04692
BordaCo0,2,0.87,0.01,1,0.540414,0.24758
BordaCo0,2,0.87,0.01,1,0.045187,0.075412
BordaCo0,2,0.87,0.01,1,0.826238,0.733874
BordaCo0,2,0.87,0.01,1,0.147596,0.054261
BordaCo0,2,0.87,0.01,1,0.528398,0.751752
BordaCo0,2,0.87,0.01,1,0.230451,0.110841
BordaCo0,2,0.87,0.01,1,0.194895,0.18827
BordaCo0,2,0.87,0.01,1,0.743658,0.670888
BordaCo0,2,0.87,0.01,1,0.295925,0.674362
BordaCo0,2,0.87,0.01,1,0.20464,0.343709
BordaCo0,2,0.87,0.01,1,0.38584,0.244481
BordaCo0,2,0.87,0.01,1,0.229321,0.354951
BordaCo0,2,0.87,0.01,1,0.09947,0.260268
BordaCo0,2,0.87,0.01,1,0.21231,0.416727
BordaCo0,2,0.87,0.01,1,0.088127,0.406379
BordaCo0,2,0.87,0.01,1,0.323961,0.038236
BordaCo0,2,0.87,0.01,1,0.031377,0.201043
BordaCo0,2,0.87,0.01,1,0.169216,0.133445
BordaCo0,2,0.87,0.01,1,0.155653,0.089893
BordaCo0,2,0.87,0.01,1,0.119852,0.265389
BordaCo0,2,0.87,0.01,1,0.798874,0.802016
BordaCo0,2,0.87,0.01,1,0.02789,0.233238
BordaCo0,2,0.87,0.01,1,0.714185,0.199111
BordaCo0,2,0.87,0.01,1,0.038285,0.015325
BordaCo0,2,0.87,0.01,1,0.010317,0.088983
BordaCo0,2,0.87,0.01,1,0.173097,0.227457
BordaCo0,2,0.87,0.01,1,0.014087,0.03224
BordaCo0,2,0.87,0.01,1,0.563186,0.757537
BordaCo0,2,0.87,0.01,1,0.129478,0.152689
BordaCo0,2,0.87,0.01,1,0.096972,0.014515
BordaCo0,2,0.87,0.01,1,0.044414,0.062298
BordaCo0,2,0.87,0.01,1,0.508559,0.576084
BordaCo0,2,0.87,0.01,1,0.504931,0.447072
BordaCo0,2,0.87,0.01,1,0.736052,0.68131
BordaCo0,2,0.87,0.01,1,0.325193,0.399495
BordaCo0,2,0.87,0.01,1,0.856365,0.561458
BordaCo0,2,0.87,0.01,1,0.594606,0.209388
BordaCo0,2,0.87,0.01,1,0.140746,0.008583
BordaCo0,2,0.87,0.01,1,0.171989,0.398353
BordaCo0,2,0.87,0.01,1,0.262144,0.35083
BordaCo0,2,0.87,0.01,1,0.167959,0.219963
BordaCo0,2,0.87,0.01,1,0.327691,0.143968
BordaCo0,2,0.87,0.01,1,0.308686,0.320272
BordaCo0,2,0.87,0.01,1,0.955946,0.216261
BordaCo0,2,0.87,0.01,1,0.207787,0.345473
BordaCo0,2,0.87,0.01,1,0.085879,0.071919
BordaCo0,2,0.87,0.01,1,0.407379,0.246822
BordaCo0,2,0.87,0.01,1,0.544042,0.532791
BordaCo0,2,0.87,0.01,1,0.206273,0.259482
BordaCo0,2,0.87,0.01,1,0.03978,0.114221
BordaCo0,2,0.87,0.01,1,0.736434,0.825555
BordaCo0,2,0.87,0.01,1,0.305406,0.770801
BordaCo0,2,0.87,0.01,1,0.012311,0.06193
BordaCo0,2,0.87,0.01,1,0.311953,0.011515
BordaCo0,2,0.87,0.01,1,0.116072,0.413371
BordaCo0,2,0.87,0.01,1,0.218704,0.867794
BordaCo0,2,0.87,0.01,1,0.252467,0.027089
BordaCo0,2,0.87,0.01,1,0.033009,0.103706
BordaCo0,2,0.87,0.01,1,0.281627,0.097536
BordaCo0,2,0.87,0.01,1,0.662293,0.752622
BordaCo0,2,0.87,0.01,1,0.074156,0.016237
BordaCo0,2,0.87,0.01,1,0.065397,0.065197
BordaCo0,2,0.87,0.01,1,0.023927,0.019579
BordaCo0,2,0.87,0.01,1,0.511568,0.93457
