@relation testset

@attribute class {BordaCo0,Stochas1,Stochas2,Copelan3,LocalKe4,PickAPe5}
@attribute Min numeric
@attribute Max numeric
@attribute Mean numeric
@attribute StandardDeviation numeric
@attribute Skewness numeric
@attribute Kurtosis numeric

@data
BordaCo0,0,46,6.815395,6.498846,1.859418,48.533942
BordaCo0,0,78,11.987895,10.945276,1.710862,77.082881
BordaCo0,0,79,18.052237,15.296926,1.156413,60.566929
BordaCo0,0,27,2.404737,2.518746,2.510518,37.371438
BordaCo0,0,45,7.397237,6.825202,1.57652,39.658106
BordaCo0,0,79,18.774474,15.901231,1.148398,61.598789
BordaCo0,0,52,7.481842,7.203905,1.789139,50.226816
BordaCo0,0,79,20.606711,16.964217,1.016168,57.8202
BordaCo0,0,79,24.495395,18.566934,0.705557,48.927038
BordaCo0,0,47,7.463158,6.86527,1.674501,44.718638
BordaCo0,0,60,9.112105,8.392184,1.607398,52.28238
BordaCo0,0,50,6.619737,6.390588,1.940206,53.257911
BordaCo0,0,78,9.014868,8.745309,1.963527,77.280898
BordaCo0,0,74,8.833026,8.328203,1.897131,67.69169
BordaCo0,0,79,22.945132,17.931273,0.797541,51.30474
BordaCo0,0,79,23.650263,18.082029,0.732865,49.186178
BordaCo0,0,79,22.438421,17.542198,0.819532,51.673956
BordaCo0,0,79,16.646053,14.500213,1.264217,62.883677
BordaCo0,0,76,8.2375,7.987106,2.142588,85.906585
BordaCo0,0,79,25.436053,18.790472,0.617657,46.359384
BordaCo0,0,79,18.223289,15.793516,1.240306,66.073049
BordaCo0,0,79,19.346184,16.328205,1.09791,60.211123
BordaCo0,0,71,11.815,11.028205,1.671437,70.285182
BordaCo0,0,38,5.187763,4.744236,1.675455,32.198157
BordaCo0,0,78,14.706842,13.113321,1.440828,69.076026
BordaCo0,0,74,13.527895,12.228558,1.49786,67.22498
BordaCo0,0,78,19.485789,16.171285,1.055568,58.38963
BordaCo0,0,60,7.182632,6.979203,1.808426,51.777004
BordaCo0,0,77,15.981711,13.942837,1.276504,62.365184
BordaCo0,0,79,21,16.883065,0.968743,56.705912
BordaCo0,0,58,8.960789,8.453606,1.79135,59.073205
BordaCo0,0,79,25.2325,18.764279,0.646556,47.810031
BordaCo0,0,79,25.114737,18.811272,0.637362,47.205848
BordaCo0,0,79,22.372632,17.54965,0.807418,50.650675
BordaCo0,0,79,16.743947,15.049588,1.309653,66.265559
BordaCo0,0,79,24.964342,18.815081,0.639644,47.775962
BordaCo0,0,62,8.603421,8.113615,1.829208,60.480746
BordaCo0,0,71,9.033816,8.526602,1.865553,68.743012
BordaCo0,0,42,5.149868,4.937095,1.832018,37.296762
BordaCo0,0,78,17.258553,14.826621,1.20847,60.938619
BordaCo0,0,78,9.852237,9.272817,2.030965,88.050363
BordaCo0,0,40,5.302105,5.168176,1.929227,42.209931
BordaCo0,0,79,19.947895,16.498087,1.026791,56.98995
BordaCo0,0,31,4.794079,4.56524,1.716072,30.044793
BordaCo0,0,79,25.005789,18.542383,0.626853,47.090342
BordaCo0,0,62,7.316316,7.137149,1.985526,61.585356
BordaCo0,0,79,24.282105,18.451837,0.707114,48.578035
BordaCo0,0,75,10.619868,9.442038,1.528894,57.761535
BordaCo0,0,79,12.305526,11.120356,1.560543,66.861312
BordaCo0,0,79,24.344737,18.402194,0.689446,48.488851
BordaCo0,0,79,22.096316,17.361806,0.84167,51.473619
BordaCo0,0,78,15.627105,14.004234,1.380672,66.79101
BordaCo0,0,79,17.299737,15.108843,1.26092,64.88327
BordaCo0,0,79,16.510789,14.412637,1.339457,68.375413
BordaCo0,0,72,11.289079,10.277664,1.553292,60.905841
BordaCo0,0,79,17.699605,15.484756,1.249669,64.745696
BordaCo0,0,78,14.420263,12.975096,1.45977,67.525911
BordaCo0,0,79,12.065789,11.81632,1.83821,83.209989
BordaCo0,0,56,8.376316,7.824302,1.653475,49.543671
BordaCo0,0,75,10.383816,9.619801,1.664387,63.013364
BordaCo0,0,66,8.688553,8.29329,1.941405,70.193656
BordaCo0,0,74,12.230921,11.336903,1.615033,69.361265
BordaCo0,0,79,25.383684,18.788218,0.648224,47.827839
BordaCo0,0,74,9.329868,9.33221,2.126759,86.318397
BordaCo0,0,79,20.421447,16.729174,0.986193,56.213555
BordaCo0,0,20,2.744868,2.691539,1.748099,19.196079
BordaCo0,0,51,4.370395,4.571038,2.616932,65.897925
BordaCo0,0,79,12.755789,11.984319,1.73518,81.45256
BordaCo0,0,28,2.580132,2.800122,2.472688,35.61283
BordaCo0,0,79,24.874211,18.697691,0.659866,48.094578
BordaCo0,0,76,9.354342,9.140999,2.05106,83.119703
BordaCo0,0,68,4.689211,4.873153,3.278777,129.695096
BordaCo0,0,34,4.5375,4.480063,2.059233,40.965092
BordaCo0,0,79,23.345,18.047851,0.785504,50.90894
BordaCo0,0,78,21.693553,17.382679,0.899213,54.509909
BordaCo0,0,79,24.668421,18.631815,0.66735,47.077318
BordaCo0,0,79,18.917763,15.569473,1.075169,57.996999
BordaCo0,0,79,24.848816,18.502707,0.677934,48.458311
BordaCo0,0,79,20.145132,16.62713,1.011366,56.824422
BordaCo0,0,44,5.848947,5.730982,1.850907,44.579084
BordaCo0,0,78,16.350263,14.226442,1.280857,63.563997
BordaCo0,0,79,17.525,14.94088,1.211377,62.708045
BordaCo0,0,79,12.311053,11.242381,1.591524,69.269098
BordaCo0,0,78,14.177632,12.623314,1.47259,68.740155
BordaCo0,0,79,16.802105,14.258259,1.221754,61.235102
BordaCo0,0,79,22.971711,17.851157,0.79203,50.589511
BordaCo0,0,77,15.760132,13.682036,1.337451,64.46892
BordaCo0,0,51,6.078816,6.037109,2.162279,60.693925
BordaCo0,0,78,18.118421,15.512361,1.13548,59.909087
BordaCo0,0,79,22.520526,17.801422,0.840857,52.251372
BordaCo0,0,79,13.812237,12.458135,1.440609,64.267743
BordaCo0,0,49,6.098684,5.817962,1.840024,45.358952
BordaCo0,0,79,25.153684,18.763148,0.64263,47.313548
BordaCo0,0,79,22.495921,17.872269,0.832379,51.421039
BordaCo0,0,31,3.481184,3.486068,1.995852,31.245612
BordaCo0,0,78,11.090658,11.104021,1.981268,88.546064
BordaCo0,0,79,14.966842,13.235785,1.417282,67.821036
BordaCo0,0,79,22.217763,17.827498,0.877788,53.319879
BordaCo0,0,68,9.764737,9.608401,1.889177,71.86375
BordaCo0,0,49,5.629737,5.553568,1.928151,48.684977
BordaCo0,0,79,12.205789,11.61719,1.875007,88.047604
BordaCo0,0,79,24.028684,18.401883,0.710016,48.916601
BordaCo0,0,40,3.981842,4.028492,2.234987,44.936105
BordaCo0,0,41,5.080921,5.088315,2.032103,45.236699
BordaCo0,0,19,2.439474,2.465156,1.75921,18.444403
BordaCo0,0,79,24.334211,18.611185,0.691629,48.467721
BordaCo0,0,66,8.923553,8.579363,1.773265,59.896125
BordaCo0,0,66,6.799211,7.162214,2.514755,91.81757
BordaCo0,0,79,24.881447,18.644973,0.648651,47.3853
BordaCo0,0,79,22.966711,17.794054,0.775451,50.137678
BordaCo0,0,79,23.979737,18.32985,0.695739,47.472718
BordaCo0,0,79,23.306842,17.93674,0.790387,51.212059
BordaCo0,0,79,20.581053,16.926455,0.957194,55.14586
BordaCo0,0,35,3.201842,3.411192,2.49063,44.686521
BordaCo0,0,77,12.717763,11.751896,1.614977,72.578353
BordaCo0,0,63,8.971053,8.441491,1.690334,54.603788
BordaCo0,0,77,15.273421,13.350857,1.352401,64.236779
BordaCo0,0,74,9.186711,8.777536,1.966701,78.694647
BordaCo0,0,34,3.500526,3.381042,2.066971,36.096955
BordaCo0,0,79,22.468684,17.474544,0.822451,51.650027
BordaCo0,0,79,24.060395,18.305378,0.712351,48.973578
BordaCo0,0,38,4.038289,4.080745,2.26712,45.226152
BordaCo0,0,54,6.966579,6.875036,1.943172,54.665036
BordaCo0,0,35,5.591711,5.414285,1.698602,34.430019
BordaCo0,0,60,8.013026,7.402673,1.656019,48.960025
BordaCo0,0,43,5.428947,5.497447,1.924124,42.921959
BordaCo0,0,79,23.577237,18.267042,0.765067,50.430881
BordaCo0,0,72,13.379868,12.203285,1.520529,67.459386
BordaCo0,0,30,4.437632,4.196936,1.56739,24.255276
BordaCo0,0,53,8.656316,8.076226,1.630986,48.303669
BordaCo0,0,37,4.487895,4.498331,2.146738,43.564161
BordaCo0,0,79,24.938947,18.595881,0.667277,48.254957
BordaCo0,0,78,11.449605,10.500055,1.622873,66.798941
BordaCo0,0,79,17.369079,15.208393,1.288245,67.303014
BordaCo0,0,79,23.781711,18.189275,0.74117,49.639684
BordaCo0,0,79,16.034737,14.362743,1.410646,71.3833
BordaCo0,0,65,8.073026,7.630612,1.719069,55.329333
BordaCo0,0,75,10.130395,9.547863,1.882794,77.916713
BordaCo0,0,43,3.250921,3.551788,2.990001,70.34249
BordaCo0,0,79,23.559605,18.020613,0.751137,49.448179
