@relation testset

@attribute class {BordaCo0,Stochas1,Stochas2,Copelan3,LocalKe4,PickAPe5}
@attribute CanberraDistanceMin numeric
@attribute CanberraDistanceMax numeric
@attribute CanberraDistanceMean numeric
@attribute CanberraDistanceStandardDeviation numeric
@attribute CanberraDistanceSkewness numeric
@attribute CanberraDistanceKurtosis numeric
@attribute KendallTauMin numeric
@attribute KendallTauMax numeric
@attribute KendallTauMean numeric
@attribute KendallTauStandardDeviation numeric
@attribute KendallTauSkewness numeric
@attribute KendallTauKurtosis numeric
@attribute CayleyDistanceMin numeric
@attribute CayleyDistanceMax numeric
@attribute CayleyDistanceMean numeric
@attribute CayleyDistanceStandardDeviation numeric
@attribute CayleyDistanceSkewness numeric
@attribute CayleyDistanceKurtosis numeric
@attribute LevenshteinDistanceMin numeric
@attribute LevenshteinDistanceMax numeric
@attribute LevenshteinDistanceMean numeric
@attribute LevenshteinDistanceStandardDeviation numeric
@attribute LevenshteinDistanceSkewness numeric
@attribute LevenshteinDistanceKurtosis numeric
@attribute LMaxMin numeric
@attribute LMaxMax numeric
@attribute LMaxMean numeric
@attribute LMaxStandardDeviation numeric
@attribute LMaxSkewness numeric
@attribute LMaxKurtosis numeric
@attribute LAbsMin numeric
@attribute LAbsMax numeric
@attribute LAbsMean numeric
@attribute LAbsStandardDeviation numeric
@attribute LAbsSkewness numeric
@attribute LAbsKurtosis numeric
@attribute LSquareMin numeric
@attribute LSquareMax numeric
@attribute LSquareMean numeric
@attribute LSquareStandardDeviation numeric
@attribute LSquareSkewness numeric
@attribute LSquareKurtosis numeric

@data
BordaCo0,0.137749,0.37929,0.263524,0.045324,-0.001073,0.115059,0.062342,0.183544,0.121044,0.026184,0.004469,0.063877,0.708861,0.962025,0.868821,0.045306,-0.478015,0.140681,0.556962,0.734177,0.650433,0.037494,-0.186968,0.091865,0.139241,0.582278,0.390806,0.091552,-0.233058,0.250304,0.093125,0.25,0.170385,0.034548,-0.069834,0.083015,0.107337,0.293686,0.199701,0.041191,-0.093921,0.100165
BordaCo0,0.32316,0.466568,0.396977,0.029318,-0.037431,0.076986,0.166772,0.280696,0.218633,0.020269,-0.063322,0.055666,0.822785,0.987342,0.917855,0.027877,-0.258017,0.082851,0.658228,0.78481,0.728181,0.023936,-0.194909,0.067471,0.367089,0.987342,0.680613,0.14384,0.204734,0.311387,0.238125,0.373125,0.299697,0.025247,-0.066654,0.065441,0.265031,0.446558,0.349903,0.033268,-0.035614,0.09081
BordaCo0,0.326724,0.662086,0.52673,0.062868,-0.354123,0.188947,0.197785,0.447785,0.333924,0.053992,-0.289176,0.139663,0.797468,0.987342,0.933111,0.027128,-0.988984,0.15801,0.696203,0.848101,0.778281,0.026891,-0.437615,0.085345,0.518987,1,0.815856,0.104742,-0.51546,0.277581,0.25625,0.6025,0.451306,0.070765,-0.360456,0.197042,0.32101,0.640969,0.507014,0.07363,-0.44096,0.192429
BordaCo0,0.065912,0.16791,0.115903,0.018494,-0.136592,0.051679,0.025316,0.058861,0.040177,0.006044,0.285173,0.017489,0.544304,0.835443,0.683544,0.060106,-0.025366,0.14844,0.367089,0.556962,0.474084,0.035674,-0.127155,0.096482,0.075949,0.341772,0.169087,0.06051,1.197427,0.242079,0.040625,0.085625,0.060118,0.008091,0.33228,0.023271,0.049137,0.108099,0.074539,0.011372,0.292752,0.030345
BordaCo0,0.170783,0.353838,0.276807,0.036369,-0.19608,0.093238,0.08038,0.182278,0.131964,0.021533,-0.142167,0.053297,0.734177,0.962025,0.876282,0.036748,-0.480659,0.134554,0.56962,0.746835,0.667022,0.034438,-0.221312,0.091071,0.202532,0.56962,0.38934,0.068197,-0.06697,0.226667,0.115,0.25375,0.184931,0.028658,-0.201144,0.072043,0.131928,0.300375,0.215402,0.033088,-0.160766,0.089062
BordaCo0,0.428022,0.634619,0.534456,0.037933,-0.124076,0.109482,0.261392,0.446203,0.350012,0.03463,0.044549,0.09599,0.860759,1,0.937175,0.026722,-0.548581,0.087786,0.696203,0.835443,0.781279,0.024473,-0.446092,0.088801,0.518987,1,0.856562,0.082772,-0.622261,0.292767,0.36,0.59625,0.469362,0.041632,0.019696,0.11896,0.390913,0.649137,0.530727,0.046063,-0.102272,0.127645
BordaCo0,0.197054,0.339622,0.279059,0.028629,-0.347743,0.077588,0.094304,0.175,0.135611,0.015376,-0.042856,0.042373,0.772152,0.962025,0.87535,0.035644,-0.137548,0.099075,0.582278,0.734177,0.667355,0.029101,-0.174345,0.084962,0.227848,0.658228,0.444704,0.080842,0.093738,0.214184,0.139375,0.234375,0.187046,0.019744,-0.050576,0.051892,0.151412,0.282934,0.223504,0.024899,-0.040997,0.067352
BordaCo0,0.448074,0.696564,0.576297,0.058984,-0.200542,0.13281,0.253481,0.512025,0.384219,0.055394,-0.20489,0.131428,0.860759,0.987342,0.936642,0.027717,-0.297082,0.071569,0.721519,0.860759,0.790207,0.02427,-0.030635,0.073264,0.607595,1,0.876682,0.07855,-0.712292,0.253977,0.343125,0.66625,0.515168,0.070428,-0.288794,0.164954,0.399014,0.720294,0.573817,0.068806,-0.355106,0.166143
BordaCo0,0.526738,0.741984,0.645463,0.042449,-0.213739,0.116137,0.349051,0.557595,0.461532,0.037293,0.012482,0.107359,0.873418,1,0.937775,0.024481,-0.16709,0.066341,0.746835,0.860759,0.81479,0.020249,-0.343143,0.055299,0.708861,1,0.904797,0.053731,-0.48892,0.183531,0.463125,0.724375,0.612385,0.04581,-0.171657,0.132512,0.536655,0.763317,0.664253,0.041123,-0.136242,0.12086
BordaCo0,0.201144,0.370126,0.281489,0.03148,0.099514,0.08572,0.083544,0.17943,0.133446,0.017879,0.108917,0.050771,0.759494,0.974684,0.881346,0.039823,-0.26048,0.119122,0.544304,0.734177,0.67002,0.030013,-0.333149,0.109544,0.240506,0.594937,0.407728,0.082973,0.015254,0.177885,0.115,0.2575,0.186579,0.023812,0.043698,0.071666,0.147451,0.291945,0.217671,0.02879,0.101475,0.078534
