@relation testset

@attribute class {BordaCo0,Stochas1,Stochas2,Copelan3,LocalKe4,PickAPe5}
@attribute CanberraDistanceMin numeric
@attribute CanberraDistanceMax numeric
@attribute CanberraDistanceMean numeric
@attribute CanberraDistanceStandardDeviation numeric
@attribute CanberraDistanceSkewness numeric
@attribute CanberraDistanceKurtosis numeric
@attribute KendallTauMin numeric
@attribute KendallTauMax numeric
@attribute KendallTauMean numeric
@attribute KendallTauStandardDeviation numeric
@attribute KendallTauSkewness numeric
@attribute KendallTauKurtosis numeric
@attribute CayleyDistanceMin numeric
@attribute CayleyDistanceMax numeric
@attribute CayleyDistanceMean numeric
@attribute CayleyDistanceStandardDeviation numeric
@attribute CayleyDistanceSkewness numeric
@attribute CayleyDistanceKurtosis numeric
@attribute LevenshteinDistanceMin numeric
@attribute LevenshteinDistanceMax numeric
@attribute LevenshteinDistanceMean numeric
@attribute LevenshteinDistanceStandardDeviation numeric
@attribute LevenshteinDistanceSkewness numeric
@attribute LevenshteinDistanceKurtosis numeric
@attribute LMaxMin numeric
@attribute LMaxMax numeric
@attribute LMaxMean numeric
@attribute LMaxStandardDeviation numeric
@attribute LMaxSkewness numeric
@attribute LMaxKurtosis numeric
@attribute LAbsMin numeric
@attribute LAbsMax numeric
@attribute LAbsMean numeric
@attribute LAbsStandardDeviation numeric
@attribute LAbsSkewness numeric
@attribute LAbsKurtosis numeric
@attribute LSquareMin numeric
@attribute LSquareMax numeric
@attribute LSquareMean numeric
@attribute LSquareStandardDeviation numeric
@attribute LSquareSkewness numeric
@attribute LSquareKurtosis numeric

@data
BordaCo0,0.458531,0.71388,0.553823,0.055601,0.713416,0.247011,0.31102,0.538776,0.387837,0.049724,1.191487,0.246765,0.836735,0.959184,0.908163,0.038452,-0.470943,0.080283,0.673469,0.77551,0.731633,0.028334,-0.403302,0.062854,0.673469,1,0.877551,0.077174,-1.065169,0.305655,0.4064,0.6784,0.51112,0.057942,0.906107,0.257706,0.492635,0.739391,0.584214,0.056189,0.872025,0.216481
BordaCo0,0.508674,0.731804,0.595281,0.05531,0.781032,0.186403,0.320816,0.46449,0.395673,0.040514,-0.22245,0.096813,0.836735,0.959184,0.910204,0.034392,-0.298367,0.085978,0.693878,0.77551,0.74898,0.025895,-0.892865,0.070267,0.653061,0.938776,0.847959,0.07456,-1.169709,0.272541,0.4432,0.6528,0.538,0.053937,0.025951,0.133089,0.479145,0.672206,0.590203,0.049113,-0.420113,0.134311
BordaCo0,0.457196,0.698231,0.597018,0.06441,-0.356106,0.159303,0.317551,0.519184,0.402776,0.044393,0.49335,0.168053,0.836735,0.959184,0.922449,0.032009,-0.72155,0.10756,0.714286,0.795918,0.757143,0.025734,-0.038904,0.046169,0.673469,1,0.82551,0.093405,0.187536,0.189769,0.4272,0.6832,0.54672,0.057366,0.051815,0.202699,0.497147,0.730899,0.597027,0.052897,0.388927,0.187095
BordaCo0,0.465794,0.614051,0.553614,0.046611,-0.410671,0.096835,0.315102,0.452245,0.388571,0.038954,-0.28947,0.087327,0.816327,0.979592,0.885714,0.038398,0.223408,0.125919,0.653061,0.77551,0.742857,0.033159,-1.219725,0.132318,0.693878,0.938776,0.821429,0.079008,-0.091452,0.13286,0.4192,0.5952,0.51656,0.048091,-0.531609,0.108979,0.482341,0.654617,0.58165,0.04728,-0.464198,0.1151
BordaCo0,0.377601,0.630301,0.532373,0.062728,-0.543096,0.184149,0.269388,0.465306,0.393592,0.051102,-0.674138,0.153494,0.816327,0.959184,0.878571,0.040031,0.327652,0.086798,0.673469,0.816327,0.735714,0.034438,0.4834,0.099143,0.612245,1,0.847959,0.09539,-0.742912,0.284526,0.3648,0.6256,0.51592,0.062706,-0.414726,0.191353,0.430193,0.675733,0.588172,0.062257,-0.845027,0.207025
BordaCo0,0.483323,0.718001,0.606897,0.070358,-0.169311,0.125364,0.343673,0.514286,0.414245,0.04722,0.28775,0.094709,0.857143,0.979592,0.92551,0.031135,-0.263809,0.073772,0.653061,0.795918,0.755102,0.032907,-1.359612,0.173298,0.673469,0.979592,0.845918,0.083268,-0.436005,0.190756,0.4624,0.6784,0.55912,0.066817,0.231938,0.121104,0.526558,0.713781,0.61192,0.051975,0.197206,0.097787
BordaCo0,0.455668,0.655267,0.57406,0.053386,-0.521171,0.130891,0.300408,0.496327,0.402531,0.049222,-0.201558,0.138442,0.857143,0.959184,0.904082,0.029645,-0.04111,0.059952,0.714286,0.816327,0.759184,0.02549,0.695942,0.083156,0.571429,0.979592,0.885714,0.089284,-2.007879,0.715199,0.4048,0.6304,0.53608,0.061983,-0.434272,0.166914,0.455723,0.698206,0.598663,0.056969,-0.531653,0.19431
BordaCo0,0.481615,0.671659,0.59543,0.04815,-0.379241,0.130572,0.333061,0.475918,0.410816,0.035983,-0.190292,0.087688,0.795918,0.979592,0.870408,0.044373,0.277923,0.13215,0.693878,0.816327,0.757143,0.026531,0.087392,0.092164,0.714286,0.979592,0.84898,0.07169,0.153916,0.170288,0.4512,0.6288,0.55192,0.043787,-0.168464,0.11927,0.529468,0.681993,0.608602,0.039987,-0.095924,0.088375
BordaCo0,0.490608,0.693396,0.611524,0.049953,-0.222738,0.14481,0.337959,0.498776,0.420694,0.042297,-0.27849,0.116628,0.857143,0.959184,0.913265,0.034679,-0.340101,0.060703,0.693878,0.816327,0.762245,0.031135,-0.263809,0.073772,0.734694,1,0.842857,0.073328,0.41508,0.176739,0.456,0.6592,0.56368,0.051908,-0.182399,0.148046,0.522759,0.699957,0.618093,0.047656,-0.430793,0.131086
BordaCo0,0.412773,0.613577,0.499552,0.044625,0.209517,0.16055,0.257143,0.446531,0.337673,0.044454,0.733242,0.157815,0.816327,0.979592,0.913265,0.038654,-0.609826,0.117004,0.653061,0.77551,0.731633,0.032445,-0.350713,0.092246,0.591837,0.979592,0.8,0.089097,-0.13152,0.263081,0.3616,0.5888,0.44504,0.050226,0.908332,0.213152,0.399219,0.642848,0.520428,0.056575,0.327805,0.185595
