@relation testset

@attribute class {BordaCo0,Stochas1,Stochas2,Copelan3,LocalKe4,PickAPe5}
@attribute hv0 numeric
@attribute hv1 numeric
@attribute hv2 numeric
@attribute hv3 numeric
@attribute hv4 numeric
@attribute hv5 numeric

@data
BordaCo0,1,0.87,0.01,1,0.569885,0.988682
BordaCo0,1,0.87,0.01,1,0.906538,0.970582
BordaCo0,1,0.87,0.01,1,0.982311,0.934022
BordaCo0,1,0.87,0.01,1,0.70922,0.989545
BordaCo0,1,0.87,0.01,1,0.609805,0.857556
BordaCo0,1,0.87,0.01,1,0.993054,0.904925
BordaCo0,1,0.87,0.01,1,0.847429,0.804795
BordaCo0,1,0.87,0.01,1,0.780724,0.989901
BordaCo0,1,0.87,0.01,1,0.967557,0.910064
BordaCo0,1,0.87,0.01,1,0.716305,0.45963
BordaCo0,1,0.87,0.01,1,0.925415,0.887025
BordaCo0,1,0.87,0.01,1,0.784918,0.960847
BordaCo0,1,0.87,0.01,1,0.761273,0.851518
BordaCo0,1,0.87,0.01,1,0.792113,0.835062
BordaCo0,1,0.87,0.01,1,0.955751,0.799497
BordaCo0,1,0.87,0.01,1,0.939557,0.947481
BordaCo0,1,0.87,0.01,1,0.726764,0.412555
BordaCo0,1,0.87,0.01,1,0.691145,0.807428
BordaCo0,1,0.87,0.01,1,0.983449,0.965739
BordaCo0,1,0.87,0.01,1,0.961123,0.957071
BordaCo0,1,0.87,0.01,1,0.677638,0.897656
BordaCo0,1,0.87,0.01,1,0.659241,0.936709
BordaCo0,1,0.87,0.01,1,0.506846,0.727769
BordaCo0,1,0.87,0.01,1,0.97421,0.924862
BordaCo0,1,0.87,0.01,1,0.887443,0.829807
BordaCo0,1,0.87,0.01,1,0.921479,0.905704
BordaCo0,1,0.87,0.01,1,0.999561,0.78871
BordaCo0,1,0.87,0.01,1,0.947256,0.972238
BordaCo0,1,0.87,0.01,1,0.888541,0.866449
BordaCo0,1,0.87,0.01,1,0.84063,0.887956
BordaCo0,1,0.87,0.01,1,0.998896,0.789696
BordaCo0,1,0.87,0.01,1,0.477948,0.869092
BordaCo0,1,0.87,0.01,1,0.968518,0.833364
BordaCo0,1,0.87,0.01,1,0.534368,0.78832
BordaCo0,1,0.87,0.01,1,0.944532,0.964889
BordaCo0,1,0.87,0.01,1,0.953874,0.961701
BordaCo0,1,0.87,0.01,1,0.845478,0.918151
BordaCo0,1,0.87,0.01,1,0.869188,0.982476
BordaCo0,1,0.87,0.01,1,0.760337,0.76427
BordaCo0,1,0.87,0.01,1,0.777942,0.444521
BordaCo0,1,0.87,0.01,1,0.896762,0.713885
BordaCo0,1,0.87,0.01,1,0.868379,0.953688
BordaCo0,1,0.87,0.01,1,0.962035,0.981525
BordaCo0,1,0.87,0.01,1,0.931055,0.645598
BordaCo0,1,0.87,0.01,1,0.846654,0.913768
BordaCo0,1,0.87,0.01,1,0.999344,0.906257
BordaCo0,1,0.87,0.01,1,0.872321,0.772788
BordaCo0,1,0.87,0.01,1,0.840838,0.879797
BordaCo0,1,0.87,0.01,1,0.96321,0.802497
BordaCo0,1,0.87,0.01,1,0.837564,0.883409
BordaCo0,1,0.87,0.01,1,0.90288,0.749863
BordaCo0,1,0.87,0.01,1,0.904827,0.9419
BordaCo0,1,0.87,0.01,1,0.901685,0.780027
BordaCo0,1,0.87,0.01,1,0.856876,0.985021
BordaCo0,1,0.87,0.01,1,0.824079,0.794863
BordaCo0,1,0.87,0.01,1,0.725777,0.961644
BordaCo0,1,0.87,0.01,1,0.725699,0.99742
BordaCo0,1,0.87,0.01,1,0.8225,0.729823
BordaCo0,1,0.87,0.01,1,0.887657,0.885835
BordaCo0,1,0.87,0.01,1,0.996613,0.879199
BordaCo0,1,0.87,0.01,1,0.704063,0.986011
BordaCo0,1,0.87,0.01,1,0.97389,0.994039
BordaCo0,1,0.87,0.01,1,0.744527,0.755544
BordaCo0,1,0.87,0.01,1,0.579928,0.79108
BordaCo0,1,0.87,0.01,1,0.874996,0.853292
BordaCo0,1,0.87,0.01,1,0.968671,0.6753
BordaCo0,1,0.87,0.01,1,0.878776,0.971945
BordaCo0,1,0.87,0.01,1,0.670139,0.639812
BordaCo0,1,0.87,0.01,1,0.840222,0.443347
BordaCo0,1,0.87,0.01,1,0.862574,0.304843
BordaCo0,1,0.87,0.01,1,0.69867,0.991125
BordaCo0,1,0.87,0.01,1,0.993263,0.854795
BordaCo0,1,0.87,0.01,1,0.893618,0.924511
BordaCo0,1,0.87,0.01,1,0.772494,0.974354
