@relation testset

@attribute class {BordaCo0,Stochas1,Stochas2,Copelan3,LocalKe4,PickAPe5}
@attribute Min numeric
@attribute Max numeric
@attribute Mean numeric
@attribute StandardDeviation numeric
@attribute Skewness numeric
@attribute Kurtosis numeric

@data
BordaCo0,0,49,15.555789,12.210718,0.57391,28.928139
BordaCo0,0,49,15.929684,11.899257,0.590266,29.170922
BordaCo0,0,49,15.998105,12.0224,0.594494,29.062478
BordaCo0,0,49,15.796,11.93562,0.545304,28.008824
BordaCo0,0,49,15.610737,12.292721,0.582578,29.402061
BordaCo0,0,49,16.308,11.883553,0.540073,28.216776
BordaCo0,0,49,15.865895,12.241935,0.601686,29.370628
BordaCo0,0,49,16.164632,12.037671,0.539066,27.90299
BordaCo0,0,49,16.402316,11.919804,0.541682,28.538741
BordaCo0,0,49,14.056842,12.109506,0.712297,31.009728
BordaCo0,0,49,16.189895,11.970065,0.52414,27.763376
BordaCo0,0,49,15.779158,12.017823,0.572885,28.724811
BordaCo0,0,49,15.819368,12.091023,0.587569,29.315401
BordaCo0,0,49,15.517895,11.784512,0.620932,29.735771
BordaCo0,0,49,15.886947,11.778761,0.567649,28.538992
BordaCo0,0,49,15.959579,11.888484,0.571468,28.715365
BordaCo0,0,49,14.377474,12.153113,0.616484,29.058479
BordaCo0,0,49,15.555368,12.128513,0.550894,28.165247
BordaCo0,0,49,16.441684,12.047567,0.554107,28.690636
BordaCo0,0,49,16.022105,11.831498,0.557369,28.415996
BordaCo0,0,49,15.806105,12.245149,0.566552,29.352074
BordaCo0,0,49,15.708632,12.070327,0.612184,29.718678
BordaCo0,0,49,14.648632,12.116675,0.603175,29.104645
BordaCo0,0,49,16.084211,11.985731,0.562533,28.537361
BordaCo0,0,49,15.415368,11.756123,0.588868,28.655363
BordaCo0,0,48,15.918316,11.939341,0.529825,27.567354
BordaCo0,0,49,16.012842,11.971231,0.523203,27.836724
BordaCo0,0,49,16.121895,11.894894,0.55255,28.35495
BordaCo0,0,49,15.877474,11.978575,0.573882,28.765077
BordaCo0,0,49,16.093053,11.905637,0.554935,28.442022
BordaCo0,0,49,15.717053,11.958021,0.582016,28.820492
BordaCo0,0,49,15.281263,12.107294,0.592898,29.249615
BordaCo0,0,49,15.730526,11.798252,0.592486,29.308551
BordaCo0,0,49,15.278105,12.158156,0.588649,29.07406
BordaCo0,0,49,15.998526,12.039514,0.577024,28.735227
BordaCo0,0,49,16.131789,11.970125,0.599458,29.177346
BordaCo0,0,49,16.344842,12.111883,0.53292,28.131899
BordaCo0,0,49,16.145895,11.910543,0.569042,29.14872
BordaCo0,0,49,15.596632,11.976109,0.567073,28.941443
BordaCo0,0,49,14.539158,11.985291,0.601104,28.993447
BordaCo0,0,49,15.476421,11.997639,0.576224,28.539054
BordaCo0,0,49,15.972211,11.988216,0.587209,29.241694
BordaCo0,0,49,16.026316,11.857467,0.562072,28.206968
BordaCo0,0,49,15.553895,12.211045,0.5827,29.017845
BordaCo0,0,49,16.189895,11.873692,0.553399,28.41169
BordaCo0,0,49,15.770105,12.076789,0.604394,29.449256
BordaCo0,0,49,15.622105,12.047106,0.585276,29.126605
BordaCo0,0,49,15.62,11.994052,0.546241,27.96136
BordaCo0,0,49,15.759158,11.923444,0.581328,29.063113
BordaCo0,0,49,16.064,12.013147,0.57015,28.96528
BordaCo0,0,49,15.557474,12.065792,0.586809,29.511807
BordaCo0,0,49,16.228842,12.04032,0.562494,28.567834
BordaCo0,0,49,16.005684,11.886107,0.543998,28.467014
BordaCo0,0,49,15.685263,11.890744,0.597431,29.481576
BordaCo0,0,49,15.895789,12.144121,0.548784,28.4429
BordaCo0,0,49,15.694526,12.095582,0.607995,29.468279
BordaCo0,0,49,15.628211,11.798184,0.593774,28.965555
BordaCo0,0,49,16.058526,12.051064,0.518828,28.150736
BordaCo0,0,49,15.729684,11.717337,0.583477,28.941543
BordaCo0,0,49,15.941263,11.92296,0.585785,28.691144
BordaCo0,0,49,15.933263,12.144566,0.573556,28.969298
BordaCo0,0,49,16.172842,11.847266,0.56614,28.875246
BordaCo0,0,49,15.413684,11.861864,0.597415,29.607311
BordaCo0,0,49,15.252842,12.099668,0.544408,27.609202
BordaCo0,0,49,15.960632,11.894232,0.554569,28.163235
BordaCo0,0,49,16.004,12.222464,0.564365,29.05615
BordaCo0,0,49,16.169263,11.881316,0.574019,29.174133
BordaCo0,0,48,14.803158,11.989855,0.60615,28.806403
BordaCo0,0,49,15.008632,12.149296,0.645562,30.699339
BordaCo0,0,49,14.059368,12.154204,0.651232,29.588042
BordaCo0,0,49,16.037053,11.978327,0.521843,28.0136
BordaCo0,0,49,16.152632,11.953721,0.575863,29.269826
BordaCo0,0,49,16.049263,11.973132,0.561151,28.795642
BordaCo0,0,49,15.801684,11.984975,0.586157,28.845633
BordaCo0,0,49,15.534737,12.085884,0.575752,29.347845
BordaCo0,0,49,15.841263,11.853485,0.583217,28.536264
BordaCo0,0,49,15.990316,12.014452,0.551226,28.441513
BordaCo0,0,49,15.390737,11.909402,0.603399,29.294633
BordaCo0,0,49,15.768,11.961239,0.574925,28.730076
BordaCo0,0,49,16.113053,11.827206,0.571474,28.437788
BordaCo0,0,49,15.517053,11.907071,0.589348,28.985816
BordaCo0,0,49,15.808421,12.034631,0.561891,28.085373
BordaCo0,0,49,15.811158,11.893117,0.585617,29.390979
BordaCo0,0,49,16.022737,11.859968,0.568108,28.677871
BordaCo0,0,49,13.345053,11.905766,0.750023,31.767878
BordaCo0,0,49,15.797263,12.023484,0.573692,28.966179
BordaCo0,0,49,16.018737,12.00188,0.55418,28.742546
BordaCo0,0,49,15.500211,12.09953,0.594948,29.30967
BordaCo0,0,49,16.264421,11.882334,0.57181,28.868394
