@relation testset

@attribute class {BordaCo0,Stochas1,Stochas2,Copelan3,LocalKe4,PickAPe5}
@attribute CanberraDistanceMin numeric
@attribute CanberraDistanceMax numeric
@attribute CanberraDistanceMean numeric
@attribute CanberraDistanceStandardDeviation numeric
@attribute CanberraDistanceSkewness numeric
@attribute CanberraDistanceKurtosis numeric
@attribute KendallTauMin numeric
@attribute KendallTauMax numeric
@attribute KendallTauMean numeric
@attribute KendallTauStandardDeviation numeric
@attribute KendallTauSkewness numeric
@attribute KendallTauKurtosis numeric
@attribute CayleyDistanceMin numeric
@attribute CayleyDistanceMax numeric
@attribute CayleyDistanceMean numeric
@attribute CayleyDistanceStandardDeviation numeric
@attribute CayleyDistanceSkewness numeric
@attribute CayleyDistanceKurtosis numeric
@attribute LevenshteinDistanceMin numeric
@attribute LevenshteinDistanceMax numeric
@attribute LevenshteinDistanceMean numeric
@attribute LevenshteinDistanceStandardDeviation numeric
@attribute LevenshteinDistanceSkewness numeric
@attribute LevenshteinDistanceKurtosis numeric
@attribute LMaxMin numeric
@attribute LMaxMax numeric
@attribute LMaxMean numeric
@attribute LMaxStandardDeviation numeric
@attribute LMaxSkewness numeric
@attribute LMaxKurtosis numeric
@attribute LAbsMin numeric
@attribute LAbsMax numeric
@attribute LAbsMean numeric
@attribute LAbsStandardDeviation numeric
@attribute LAbsSkewness numeric
@attribute LAbsKurtosis numeric
@attribute LSquareMin numeric
@attribute LSquareMax numeric
@attribute LSquareMean numeric
@attribute LSquareStandardDeviation numeric
@attribute LSquareSkewness numeric
@attribute LSquareKurtosis numeric

@data
BordaCo0,0.462017,0.821649,0.657629,0.060259,-0.262658,0.201285,0.354286,0.601633,0.4778,0.050643,0.068214,0.132297,0.734694,0.959184,0.856284,0.051024,-0.200705,0.130853,0.673469,0.857143,0.768851,0.036138,-0.130973,0.102003,0.673469,1,0.889689,0.064973,-0.430101,0.189544,0.456,0.808,0.622232,0.063778,0.044388,0.173112,0.542503,0.805295,0.683104,0.053464,-0.103879,0.140348
BordaCo0,0.524613,0.847502,0.677098,0.054592,0.093776,0.174434,0.382857,0.646531,0.482174,0.050196,0.17187,0.131438,0.77551,0.979592,0.888292,0.040638,-0.152805,0.10641,0.673469,0.857143,0.779162,0.030049,-0.38948,0.114801,0.693878,1,0.893555,0.066907,-0.870351,0.23766,0.5008,0.8336,0.637187,0.062729,0.119,0.165457,0.55954,0.840254,0.686821,0.053701,-0.056167,0.136201
BordaCo0,0.491107,0.80504,0.675482,0.056785,-0.348199,0.182465,0.36898,0.60898,0.487158,0.049119,0.198143,0.144728,0.755102,1,0.892589,0.046979,-0.303598,0.127042,0.714286,0.836735,0.779914,0.029319,-0.083027,0.071992,0.714286,1,0.894844,0.061056,-0.499965,0.183198,0.4544,0.7904,0.639924,0.061646,0.079675,0.183775,0.560269,0.814544,0.691434,0.051814,0.001482,0.144075
BordaCo0,0.50035,0.804225,0.666378,0.057998,-0.28211,0.198559,0.34449,0.628571,0.479682,0.050942,0.093394,0.167169,0.755102,0.979592,0.879484,0.042508,-0.279826,0.122142,0.673469,0.836735,0.777444,0.031487,-0.605739,0.107089,0.673469,1,0.883029,0.065903,-0.662094,0.21128,0.4672,0.8112,0.63184,0.064265,-0.005768,0.198296,0.528106,0.823106,0.683876,0.053561,-0.140409,0.173933
BordaCo0,0.487193,0.792271,0.647651,0.06139,-0.145017,0.164337,0.336327,0.622041,0.481903,0.052039,-0.137905,0.148407,0.755102,0.938776,0.847368,0.043201,-0.062572,0.114558,0.673469,0.857143,0.769173,0.034299,-0.14341,0.09037,0.693878,1,0.901396,0.062335,-0.374663,0.156451,0.4464,0.8032,0.624429,0.066055,-0.189866,0.191358,0.518285,0.82433,0.686222,0.055285,-0.335997,0.165408
BordaCo0,0.510378,0.804736,0.686748,0.054657,-0.201496,0.151126,0.370612,0.617143,0.492567,0.046713,0.177323,0.130729,0.795918,1,0.897637,0.039477,-0.086764,0.099638,0.714286,0.857143,0.786788,0.029795,0.022883,0.081506,0.673469,1,0.888614,0.060089,-0.487866,0.210673,0.4864,0.7952,0.65232,0.06111,0.069607,0.156492,0.54268,0.816693,0.697384,0.049542,-0.079956,0.139253
BordaCo0,0.486105,0.839455,0.662177,0.057293,-0.272567,0.181442,0.32,0.629388,0.487295,0.051862,-0.060061,0.167412,0.714286,1,0.870032,0.045974,-0.095204,0.134775,0.653061,0.857143,0.776799,0.034508,-0.57587,0.111545,0.714286,1,0.903545,0.063367,-0.463794,0.161072,0.4304,0.8352,0.634636,0.063595,-0.170943,0.212201,0.502574,0.833224,0.692216,0.054219,-0.308467,0.185414
BordaCo0,0.506364,0.816772,0.679566,0.055369,-0.214657,0.166754,0.34449,0.64,0.491794,0.049852,-0.038387,0.145421,0.77551,0.979592,0.888185,0.041334,-0.159778,0.107832,0.693878,0.877551,0.78217,0.031048,-0.085363,0.093688,0.673469,1,0.884318,0.057191,-0.086139,0.179082,0.4448,0.8256,0.646585,0.062219,-0.092416,0.186585,0.533938,0.843306,0.69637,0.052012,-0.21231,0.155981
BordaCo0,0.535833,0.834423,0.690062,0.054393,-0.499381,0.184801,0.347755,0.614694,0.495497,0.047571,-0.276493,0.165291,0.795918,1,0.898496,0.037772,0.100952,0.094929,0.673469,0.857143,0.784748,0.030309,-0.418836,0.106202,0.734694,1,0.895166,0.063136,-0.415774,0.163077,0.4816,0.816,0.656093,0.060923,-0.185188,0.196265,0.528197,0.81634,0.700689,0.050725,-0.483761,0.1881
BordaCo0,0.459858,0.723935,0.603876,0.05351,-0.087474,0.146949,0.30449,0.6,0.437985,0.050263,0.216292,0.162991,0.653061,0.938776,0.794307,0.058211,-0.268709,0.149794,0.632653,0.816327,0.742642,0.035631,-0.619009,0.12391,0.612245,1,0.875295,0.074363,-0.715425,0.260526,0.4128,0.7248,0.562274,0.059905,0.068106,0.168392,0.482441,0.80081,0.640396,0.056035,-0.013506,0.171223
BordaCo0,0.554146,0.819791,0.681192,0.053059,-0.008076,0.133188,0.388571,0.601633,0.491192,0.0469,-0.01679,0.117926,0.77551,0.979592,0.886037,0.044568,-0.241024,0.109096,0.693878,0.857143,0.785607,0.031806,-0.328073,0.094937,0.714286,1,0.89087,0.066561,-0.279119,0.169086,0.504,0.7744,0.647596,0.058931,-0.037176,0.143108,0.577572,0.802966,0.695861,0.049466,-0.190208,0.126597
BordaCo0,0.490406,0.811865,0.671357,0.058285,-0.319229,0.185328,0.339592,0.613878,0.480644,0.053165,-0.143184,0.133276,0.755102,0.979592,0.874758,0.044967,-0.260184,0.118732,0.653061,0.857143,0.774221,0.034061,-0.524939,0.120149,0.673469,1,0.886251,0.066419,-0.545002,0.207275,0.4496,0.7984,0.631166,0.066158,-0.132649,0.177866,0.524914,0.812625,0.6849,0.0565,-0.281145,0.142676
BordaCo0,0.530059,0.812929,0.666358,0.053356,0.078728,0.158589,0.372245,0.62449,0.483502,0.047807,0.278001,0.132372,0.734694,1,0.873792,0.047943,-0.263209,0.134148,0.693878,0.836735,0.774114,0.030777,-0.233626,0.096809,0.734694,1,0.9,0.056864,-0.549793,0.153431,0.5008,0.7904,0.632775,0.059184,0.311021,0.16409,0.562408,0.817633,0.688014,0.050614,0.088917,0.135046
BordaCo0,0.505583,0.794735,0.660117,0.054255,-0.099328,0.166998,0.34449,0.601633,0.469955,0.048412,0.310756,0.148622,0.77551,0.979592,0.881203,0.044118,0.018881,0.109483,0.693878,0.857143,0.774866,0.031331,-0.235015,0.084214,0.673469,1,0.89044,0.070544,-0.434965,0.179657,0.4704,0.792,0.620716,0.060626,0.19564,0.198935,0.521794,0.804101,0.673119,0.052053,0.101199,0.158619
BordaCo0,0.500608,0.774192,0.673493,0.054952,-0.442631,0.149158,0.347755,0.59102,0.478771,0.047458,-0.037649,0.138607,0.77551,1,0.886788,0.042269,-0.081984,0.112846,0.673469,0.857143,0.777444,0.031696,-0.28438,0.103794,0.714286,1,0.883244,0.06535,-0.454513,0.171562,0.4832,0.7632,0.635478,0.058684,-0.124393,0.147924,0.532768,0.795184,0.683358,0.050698,-0.270023,0.157307
BordaCo0,0.53144,0.813361,0.673989,0.060237,-0.12159,0.16815,0.333061,0.64,0.483351,0.052686,0.108683,0.17693,0.755102,0.979592,0.891515,0.044344,-0.36127,0.128824,0.693878,0.857143,0.780021,0.032731,-0.21708,0.098439,0.673469,1,0.889474,0.070169,-0.6238,0.209879,0.4656,0.8176,0.638383,0.066946,0.023591,0.200376,0.514846,0.83742,0.687317,0.055128,-0.113817,0.188321
BordaCo0,0.438951,0.761531,0.599644,0.064673,0.009606,0.147886,0.298776,0.627755,0.446904,0.055374,0.248318,0.172046,0.591837,0.938776,0.774329,0.069356,-0.140242,0.179536,0.632653,0.836735,0.745005,0.044008,-0.337874,0.115212,0.673469,1,0.877551,0.064264,-0.567374,0.197071,0.3776,0.7664,0.575099,0.070066,0.127545,0.203741,0.49618,0.825291,0.649467,0.060458,0.043027,0.17505
BordaCo0,0.462738,0.796776,0.655719,0.063071,-0.544046,0.183276,0.323265,0.623673,0.477319,0.058592,-0.08118,0.14717,0.693878,0.979592,0.849839,0.047463,0.032676,0.153897,0.653061,0.857143,0.771751,0.038396,-0.430028,0.120139,0.653061,1,0.880129,0.066986,-0.593275,0.207885,0.4368,0.7808,0.622215,0.071941,-0.284406,0.181075,0.50766,0.826482,0.680628,0.061774,-0.266486,0.164186
BordaCo0,0.526009,0.825324,0.687623,0.056967,-0.015655,0.150876,0.36898,0.622857,0.498758,0.051132,-0.079041,0.132254,0.77551,1,0.8971,0.039274,-0.303584,0.136771,0.693878,0.877551,0.78507,0.031592,-0.034561,0.095726,0.653061,1,0.900107,0.06467,-0.475488,0.190847,0.5008,0.832,0.657667,0.063302,-0.034124,0.176226,0.560655,0.831839,0.704224,0.053255,-0.268454,0.147086
