    Classifier | alpha & beta | attribute-5 | attribute-24 | attribute-48 
---------------+--------------+-------------+--------------+--------------
       Bagging |        48,21 |       45,91 |        50,27 |        51,24 
    Clustering |        33,71 |       35,79 |        39,60 |        40,45 
 DecisionTable |        48,39 |       46,63 |        49,51 |        48,72 
           END |        50,35 |       45,60 |        50,15 |        46,74 
           J48 |        48,21 |       44,68 |        46,60 |        45,01 
    LogitBoost |        49,07 |       47,34 |        50,78 |        50,94 
    NaiveBayes |        49,79 |       41,22 |        45,84 |        46,85 
    Regression |        50,05 |       47,79 |        50,82 |        49,70 
RotationForest |        49,55 |       47,24 |        51,26 |        49,33 
           SMO |        39,20 |       43,07 |        50,56 |        49,57 
         IBk-1 |        42,70 |       39,32 |        44,15 |        43,10 
         IBk-2 |        42,90 |       37,67 |        44,10 |        43,06 
         IBk-4 |        46,46 |       40,59 |        47,91 |        46,38 
         IBk-8 |        47,90 |       44,10 |        48,89 |        48,57 
        IBk-16 |        49,29 |       45,57 |        48,71 |        50,70 
        IBk-24 |        49,62 |       47,17 |        50,94 |        49,74 
        IBk-32 |        50,02 |       47,63 |        51,61 |        51,05 
        IBk-48 |        50,45 |       47,12 |        51,26 |        51,99 
        IBk-64 |        49,71 |       46,56 |        51,51 |        51,62 
