         |     0,1     |     0,4     |     0,7     |     1,0     |     1,3     |     1,6     |     1,9     
---------+-------------+-------------+-------------+-------------+-------------+-------------+-------------
 5 x  10 | 68 17 11  3 | 22 53 13 11 | 15 68 16  0 | 15 60 21  3 | 15 69 10  5 | 12 62 22  3 |  7 77 15  0 
 5 x  20 | 43 12 41  3 | 17 48 33  1 | 12 65 21  1 |  9 67 21  2 |  8 62 28  1 |  6 73 19  1 |  2 75 22  0 
 5 x  30 | 35  9 55  0 |  7 37 55  0 | 11 63 24  1 |  8 68 23  0 |  5 66 27  1 |  2 70 27  0 |  5 66 28  0 
 5 x  40 | 22 13 64  0 |  8 41 50  0 |  3 61 35  0 |  7 61 31  0 |  3 67 29  0 |  0 64 35  0 |  3 60 36  0 
 5 x  50 | 19  6 74  0 | 10 27 62  0 |  7 56 36  0 |  0 69 30  0 |  1 75 23  0 |  2 68 29  0 |  1 65 33  0 
 5 x  60 | 19  2 78  0 |  5 32 62  0 |  3 52 44  0 |  1 62 36  0 |  2 63 34  0 |  4 57 38  0 |  0 58 41  0 
 5 x  70 | 10  6 83  0 |  8 33 58  0 |  2 56 41  0 |  3 52 44  0 |  0 73 26  0 |  1 51 47  0 |  0 63 36  0 
 5 x  80 | 14  1 84  0 |  7 19 73  0 |  0 55 44  0 |  2 56 41  0 |  0 60 39  0 |  1 53 45  0 |  3 49 47  0 
 5 x  90 |  9  2 88  0 |  2 26 71  0 |  2 40 57  0 |  2 53 44  0 |  1 50 48  0 |  0 57 42  0 |  1 52 46  0 
 5 x 100 |  8  1 89  1 |  2 17 80  0 |  3 49 47  0 |  2 51 46  0 |  2 58 39  0 |  3 57 39  0 |  0 53 46  0 
10 x  10 | 67 20 12  0 | 35 38 19  7 | 18 56 16  9 | 22 59 13  5 |  9 77 12  1 | 16 69 14  0 |  9 74 13  3 
10 x  20 | 56  7 36  0 | 28 30 37  4 | 13 54 28  4 | 14 63 16  6 |  9 68 19  3 | 12 55 29  3 |  8 62 27  2 
10 x  30 | 38  2 59  0 | 17 24 56  2 |  8 53 37  1 |  4 54 39  2 |  4 49 43  3 |  5 52 42  0 |  7 50 40  2 
10 x  40 | 30  2 67  0 | 18 16 64  1 | 10 39 50  0 |  8 47 44  0 |  4 54 40  1 |  3 60 36  0 |  1 43 55  0 
10 x  50 | 30  0 69  0 | 14  3 81  1 |  6 31 61  1 |  7 39 53  0 |  5 44 49  1 |  7 41 50  1 |  2 44 53  0 
10 x  60 | 25  1 73  0 |  8  6 85  0 |  7 25 67  0 |  8 36 55  0 |  3 37 58  1 |  2 34 62  1 |  2 38 58  1 
10 x  70 | 23  0 76  0 |  6  5 88  0 |  6 23 70  0 |  1 31 66  1 |  3 29 67  0 |  1 28 70  0 |  0 26 73  0 
