         |     0,1     |     0,4     |     0,7     |     1,0     |     1,3     |     1,6     |     1,9     
---------+-------------+-------------+-------------+-------------+-------------+-------------+-------------
 5 x  10 | 54 40  4  1 | 13 82  3  1 | 12 83  2  2 |  8 87  4  0 |  2 94  3  0 |  6 89  4  0 |  4 91  4  0 
 5 x  20 | 19 70  7  3 |  5 94  0  0 |  7 89  3  0 |  1 95  2  1 |  1 98  0  0 |  0 96  3  0 |  1 96  2  0 
 5 x  30 | 17 71 11  0 |  3 95  1  0 |  0 98  1  0 |  1 98  0  0 |  0 98  1  0 |  2 97  0  0 |  0 99  0  0 
 5 x  40 | 12 83  4  0 |  3 96  0  0 |  5 94  0  0 |  2 97  0  0 |  0 99  0  0 |  1 98  0  0 |  1 98  0  0 
 5 x  50 |  8 86  5  0 |  2 94  2  1 |  3 95  1  0 |  1 98  0  0 |  1 98  0  0 |  2 97  0  0 |  1 98  0  0 
 5 x  60 |  7 90  2  0 |  1 95  3  0 |  2 97  0  0 |  3 95  1  0 |  1 98  0  0 |  0 99  0  0 |  0 99  0  0 
 5 x  70 |  3 90  6  0 |  3 94  2  0 |  1 97  1  0 |  0 97  2  0 |  0 99  0  0 |  0 99  0  0 |  0 99  0  0 
 5 x  80 |  5 90  4  0 |  1 97  1  0 |  0 99  0  0 |  0 97  2  0 |  1 98  0  0 |  1 98  0  0 |  0 99  0  0 
 5 x  90 |  4 92  3  0 |  1 97  1  0 |  0 99  0  0 |  0 99  0  0 |  0 99  0  0 |  0 98  1  0 |  0 99  0  0 
 5 x 100 |  3 96  0  0 |  1 97  1  0 |  1 97  1  0 |  1 97  1  0 |  1 98  0  0 |  0 99  0  0 |  0 98  1  0 
10 x  10 | 53 42  2  2 | 14 83  1  1 | 11 86  0  2 |  8 88  1  2 |  8 86  3  2 |  3 93  2  1 |  6 93  0  0 
10 x  20 | 30 65  1  3 | 11 88  0  0 |  5 94  0  0 |  3 96  0  0 |  0 96  3  0 |  2 97  0  0 |  2 96  1  0 
10 x  30 | 23 75  1  0 |  7 91  0  1 |  1 98  0  0 |  3 96  0  0 |  0 99  0  0 |  2 97  0  0 |  1 98  0  0 
10 x  40 | 18 77  4  0 |  7 91  1  0 |  1 98  0  0 |  2 97  0  0 |  1 98  0  0 |  1 98  0  0 |  0 98  1  0 
10 x  50 | 13 84  2  0 |  3 96  0  0 |  1 98  0  0 |  1 98  0  0 |  1 98  0  0 |  1 98  0  0 |  0 99  0  0 
10 x  60 | 11 88  0  0 |  2 97  0  0 |  1 98  0  0 |  0 99  0  0 |  2 97  0  0 |  1 98  0  0 |  2 97  0  0 
10 x  70 |  8 90  1  0 |  5 94  0  0 |  1 98  0  0 |  0 99  0  0 |  4 95  0  0 |  0 99  0  0 |  1 98  0  0 
10 x  80 | 11 86  2  0 |  2 97  0  0 |  0 98  1  0 |  0 99  0  0 |  0 99  0  0 |  0 99  0  0 |  0 99  0  0 
10 x  90 |  3 96  0  0 |  1 98  0  0 |  0 99  0  0 |  0 99  0  0 |  0 99  0  0 |  1 98  0  0 |  0 98  1  0 
10 x 100 |  8 91  0  0 |  0 99  0  0 |  0 99  0  0 |  0 99  0  0 |  0 99  0  0 |  0 99  0  0 |  0 99  0  0 
15 x  10 | 50 44  2  3 | 11 87  0  1 |  5 92  1  1 |  5 89  1  4 |  9 88  1  1 |  2 94  2  1 |  3 92  4  0 
15 x  20 | 36 59  3  1 |  3 95  1  0 |  3 95  1  0 |  6 93  0  0 |  2 95  2  0 |  1 97  1  0 |  4 93  2  0 
15 x  30 | 17 80  2  0 |  3 96  0  0 |  3 96  0  0 |  5 94  0  0 |  2 96  1  0 |  2 95  2  0 |  1 95  3  0 
15 x  40 | 19 80  0  0 |  3 96  0  0 |  3 96  0  0 |  1 98  0  0 |  1 98  0  0 |  1 97  1  0 |  1 94  4  0 
15 x  50 |  8 89  2  0 |  4 94  1  0 |  2 97  0  0 |  0 99  0  0 |  0 99  0  0 |  1 98  0  0 |  0 98  1  0 
15 x  60 | 11 88  0  0 |  4 95  0  0 |  1 98  0  0 |  1 98  0  0 |  0 99  0  0 |  0 99  0  0 |  0 98  1  0 
15 x  70 |  5 91  3  0 |  3 95  1  0 |  1 98  0  0 |  0 99  0  0 |  0 99  0  0 |  1 98  0  0 |  1 98  0  0 
15 x  80 |  6 91  2  0 |  1 97  1  0 |  0 98  1  0 |  0 99  0  0 |  1 98  0  0 |  0 98  1  0 |  0 99  0  0 
15 x  90 |  9 89  1  0 |  2 97  0  0 |  0 99  0  0 |  0 99  0  0 |  0 99  0  0 |  1 98  0  0 |  0 99  0  0 
15 x 100 |  5 93  1  0 |  4 95  0  0 |  0 99  0  0 |  0 98  1  0 |  0 99  0  0 |  0 99  0  0 |  0 99  0  0 
