         |     0,1     |     0,4     |     0,7     |     1,0     |     1,3     |     1,6     |     1,9     
---------+-------------+-------------+-------------+-------------+-------------+-------------+-------------
 5 x  10 | 70 22  7  0 | 14 77  7  1 | 10 85  3  1 |  6 90  3  0 |  9 87  3  0 |  3 91  3  2 |  4 92  3  0 
 5 x  20 | 34 32 33  0 |  5 80 13  1 |  7 88  4  0 |  4 90  4  1 |  1 95  3  0 |  3 87  9  0 |  3 92  4  0 
 5 x  30 | 38 29 32  0 |  6 84  9  0 |  4 88  7  0 |  4 94  1  0 |  3 94  2  0 |  1 95  3  0 |  3 94  2  0 
 5 x  40 | 13 35 51  0 |  5 76 18  0 |  4 87  8  0 |  2 96  1  0 |  4 91  4  0 |  0 96  3  0 |  3 91  5  0 
 5 x  50 | 13 38 48  0 |  6 81 12  0 |  2 89  8  0 |  0 93  6  0 |  1 95  3  0 |  0 94  5  0 |  1 94  4  0 
 5 x  60 | 14 38 47  0 |  5 75 19  0 |  0 86 13  0 |  2 90  7  0 |  1 96  2  0 |  0 93  6  0 |  0 95  4  0 
 5 x  70 | 10 41 48  0 |  3 75 21  0 |  2 90  7  0 |  0 95  4  0 |  0 96  3  0 |  3 94  2  0 |  1 93  5  0 
 5 x  80 |  9 34 56  0 |  2 85 12  0 |  1 90  8  0 |  1 92  6  0 |  1 96  2  0 |  1 96  2  0 |  2 92  5  0 
 5 x  90 | 10 32 57  0 |  4 79 16  0 |  3 87  9  0 |  1 91  7  0 |  3 88  8  0 |  1 95  3  0 |  0 95  4  0 
 5 x 100 |  6 34 59  0 |  2 82 15  0 |  0 91  8  0 |  1 95  3  0 |  2 93  4  0 |  1 93  5  0 |  1 95  3  0 
10 x  10 | 73 15 11  0 | 25 65  9  0 | 14 77  8  0 | 19 78  2  0 |  9 90  0  0 |  6 87  5  1 |  7 86  3  3 
10 x  20 | 50  5 43  1 | 15 59 25  0 |  8 79 12  0 |  3 89  6  1 |  4 87  7  1 |  3 85 11  0 |  2 88  8  1 
10 x  30 | 30  0 69  0 |  8 53 36  2 |  9 77 13  0 |  6 82 11  0 |  5 89  5  0 |  3 82 14  0 |  2 72 25  0 
10 x  40 | 23  1 75  0 | 12 58 29  0 | 10 71 18  0 |  9 74 16  0 |  7 79 13  0 |  2 84 13  0 |  3 75 21  0 
10 x  50 | 20  0 79  0 | 15 51 32  1 |  9 76 14  0 |  6 73 20  0 |  6 80 12  1 |  6 81 12  0 |  4 73 22  0 
10 x  60 | 24  0 75  0 |  7 52 40  0 | 10 67 21  1 |  2 85 12  0 |  3 80 16  0 |  4 76 19  0 |  3 76 20  0 
10 x  70 | 14  0 85  0 | 10 48 41  0 |  7 61 31  0 |  7 77 15  0 |  6 71 21  1 |  3 74 22  0 |  0 66 33  0 
10 x  80 | 12  0 87  0 | 11 44 44  0 |  8 66 25  0 |  6 72 21  0 |  3 66 30  0 |  2 72 25  0 |  4 64 30  1 
10 x  90 | 15  0 84  0 |  8 42 49  0 |  8 66 25  0 |  4 80 15  0 |  2 73 24  0 |  2 73 24  0 |  2 68 28  1 
10 x 100 | 12  0 87  0 | 13 44 42  0 |  9 60 30  0 |  4 71 24  0 |  2 76 21  0 |  2 64 33  0 |  4 60 35  0 
15 x  10 | 78  9 11  1 | 28 61  8  2 | 19 74  6  0 | 11 84  4  0 |  9 83  5  2 |  4 91  3  1 |  4 91  4  0 
15 x  20 | 46  3 50  0 | 22 49 25  3 | 17 62 19  1 | 10 76 11  2 |  7 77 14  1 |  6 78 15  0 |  5 67 26  1 
15 x  30 | 36  0 63  0 | 24 39 33  3 | 11 67 21  0 |  7 72 20  0 |  6 79 14  0 |  7 73 19  0 |  3 70 24  2 
15 x  40 | 25  0 74  0 | 16 34 48  1 | 14 62 22  1 |  6 81 12  0 |  8 67 23  1 |  4 65 30  0 |  4 65 30  0 
15 x  50 | 28  0 71  0 |  9 34 54  2 |  9 65 25  0 |  4 70 25  0 |  3 73 23  0 |  6 62 31  0 |  2 58 39  0 
15 x  60 | 21  0 78  0 | 12 37 48  2 |  3 66 29  1 |  3 73 23  0 |  7 65 27  0 |  4 67 28  0 |  6 54 38  1 
15 x  70 | 19  0 80  0 |  8 29 60  2 |  8 57 33  1 |  3 67 29  0 |  4 65 30  0 |  7 65 27  0 |  2 58 39  0 
15 x  80 | 17  0 82  0 | 12 26 61  0 |  8 57 34  0 |  2 69 28  0 |  1 66 32  0 |  4 57 38  0 |  3 55 41  0 
15 x  90 | 20  0 79  0 | 12 29 58  0 |  7 56 36  0 |  6 66 27  0 |  2 66 31  0 |  1 52 46  0 |  2 48 49  0 
15 x 100 | 10  0 89  0 | 11 19 67  2 |  4 60 35  0 |  4 61 32  2 |  6 59 34  0 |  1 47 51  0 |  1 54 44  0 
20 x  10 | 86  5  8  0 | 32 58  9  0 |  9 80 10  0 | 10 84  5  0 | 20 73  4  2 | 10 83  3  3 |  9 86  3  1 
20 x  20 | 66  0 33  0 | 21 45 30  3 | 14 66 18  1 | 13 77  8  1 |  9 80 10  0 |  4 81 11  3 |  4 72 22  1 
20 x  30 | 36  0 63  0 | 12 38 46  3 | 15 58 24  2 | 10 74 15  0 |  7 78 13  1 |  8 54 36  1 |  3 61 34  1 
20 x  40 | 18  0 81  0 | 18 42 35  4 | 13 61 25  0 |  7 73 17  2 |  6 73 19  1 |  2 59 36  2 |  5 70 24  0 
20 x  50 | 27  0 72  0 | 17 30 50  2 | 11 54 32  2 |  7 77 15  0 |  4 68 26  1 |  0 68 30  1 |  4 55 40  0 
20 x  60 | 19  0 80  0 | 18 32 48  1 | 10 47 42  0 |  8 57 32  2 |  8 65 23  3 |  4 60 35  0 |  1 47 51  0 
20 x  70 | 21  0 78  0 | 18 22 55  4 |  8 63 26  2 |  6 57 35  1 |  6 58 35  0 |  3 65 31  0 |  5 60 33  1 
20 x  80 | 17  0 82  0 | 24 14 60  1 |  5 55 38  1 |  6 69 21  3 |  1 54 44  0 |  4 42 53  0 |  7 44 48  0 
20 x  90 | 17  0 82  0 | 20 10 66  3 | 13 46 39  1 |  8 60 30  1 |  5 47 47  0 |  2 46 51  0 |  5 37 54  3 
20 x 100 | 12  0 87  0 | 18 10 69  2 |  8 45 41  5 |  9 55 32  3 |  3 43 51  2 |  4 36 57  2 |  3 29 66  1 
25 x  10 | 82 13  4  0 | 27 58 12  2 | 23 64  8  4 | 16 76  5  2 |  7 87  4  1 |  7 87  3  2 |  9 87  3  0 
25 x  20 | 57  0 42  0 | 22 44 31  2 | 11 70 16  2 | 10 71 18  0 | 11 72 15  1 |  3 76 19  1 |  3 73 21  2 
25 x  30 | 50  0 49  0 | 33 27 32  7 | 16 54 26  3 |  4 68 27  0 |  7 59 33  0 |  6 61 31  1 |  3 51 44  1 
25 x  40 | 39  0 60  0 | 20 26 48  5 |  9 66 24  0 | 13 64 18  4 |  5 69 23  2 |  4 61 33  1 |  6 51 41  1 
25 x  50 | 28  0 71  0 | 14 28 55  2 |  9 56 34  0 |  7 71 20  1 |  4 73 22  0 |  5 50 44  0 |  2 53 43  1 
25 x  60 | 32  0 67  0 | 25 16 56  2 | 11 54 32  2 |  6 65 25  3 |  5 74 19  1 |  5 53 41  0 |  4 50 45  0 
25 x  70 | 13  0 86  0 | 22 15 58  4 |  6 50 40  3 |  8 61 28  2 |  7 63 27  2 |  6 48 43  2 |  2 43 53  1 
25 x  80 | 12  0 87  0 | 20 12 66  1 | 11 43 43  2 |  9 54 35  1 |  5 45 47  2 |  4 47 46  2 |  9 38 50  2 
25 x  90 | 26  0 73  0 | 23  6 70  0 |  9 41 47  2 |  7 50 38  4 |  7 45 46  1 |  6 35 57  1 |  5 24 69  1 
25 x 100 | 15  0 84  0 | 12 11 74  2 | 12 30 52  5 |  7 40 47  5 |  8 37 53  1 |  5 26 65  3 |  4 18 75  2 
