         |     0,1     |     0,4     |     0,7     |     1,0     |     1,3     |     1,6     |     1,9     
---------+-------------+-------------+-------------+-------------+-------------+-------------+-------------
 5 x  10 | 50 42  5  2 | 15 84  0  0 |  8 90  1  0 |  4 94  1  0 |  0 97  2  0 |  5 91  3  0 |  2 95  2  0 
 5 x  20 | 27 61 11  0 |  7 91  1  0 |  2 96  1  0 |  1 96  2  0 |  1 98  0  0 |  0 98  1  0 |  1 96  2  0 
 5 x  30 | 16 75  8  0 |  3 95  1  0 |  0 99  0  0 |  0 98  1  0 |  4 95  0  0 |  0 95  4  0 |  3 95  1  0 
 5 x  40 |  9 81  9  0 |  2 96  1  0 |  1 98  0  0 |  0 98  1  0 |  0 98  1  0 |  1 97  1  0 |  1 97  1  0 
 5 x  50 | 11 78 10  0 |  2 96  1  0 |  5 91  3  0 |  0 99  0  0 |  0 98  1  0 |  1 97  1  0 |  0 99  0  0 
 5 x  60 | 10 84  5  0 |  1 94  4  0 |  2 96  1  0 |  0 99  0  0 |  0 98  1  0 |  1 98  0  0 |  0 97  2  0 
 5 x  70 |  2 93  4  0 |  1 94  4  0 |  1 98  0  0 |  0 98  1  0 |  1 98  0  0 |  0 98  1  0 |  0 98  1  0 
 5 x  80 |  4 88  7  0 |  0 97  2  0 |  0 99  0  0 |  2 97  0  0 |  1 98  0  0 |  1 98  0  0 |  0 98  1  0 
 5 x  90 |  4 92  3  0 |  3 93  3  0 |  0 98  1  0 |  0 99  0  0 |  0 98  1  0 |  0 99  0  0 |  1 98  0  0 
 5 x 100 |  5 86  8  0 |  0 99  0  0 |  2 95  2  0 |  1 97  1  0 |  0 99  0  0 |  0 99  0  0 |  0 99  0  0 
10 x  10 | 64 27  7  1 | 19 76  3  1 | 16 82  1  0 |  9 88  1  1 |  2 96  1  0 |  4 93  2  0 | 11 84  4  0 
10 x  20 | 29 40 30  0 |  7 84  7  1 |  2 91  6  0 |  4 92  3  0 |  0 95  4  0 |  2 91  6  0 |  1 95  3  0 
10 x  30 | 24 33 42  0 |  5 85  9  0 |  3 91  5  0 |  2 95  2  0 |  3 95  1  0 |  3 94  2  0 |  1 90  8  0 
10 x  40 | 19 53 27  0 |  6 87  6  0 |  3 94  2  0 |  3 95  1  0 |  2 96  1  0 |  2 97  0  0 |  1 94  4  0 
10 x  50 | 16 58 25  0 |  3 86 10  0 |  1 96  2  0 |  1 97  1  0 |  2 96  1  0 |  1 96  2  0 |  1 98  0  0 
10 x  60 | 13 70 16  0 |  1 93  5  0 |  1 96  2  0 |  0 98  1  0 |  0 97  2  0 |  0 97  2  0 |  1 97  1  0 
10 x  70 |  6 61 32  0 |  2 89  8  0 |  2 97  0  0 |  1 97  1  0 |  0 99  0  0 |  0 98  1  0 |  0 98  1  0 
10 x  80 |  4 75 20  0 |  0 92  7  0 |  0 97  2  0 |  3 95  1  0 |  0 97  2  0 |  0 99  0  0 |  0 98  1  0 
10 x  90 |  4 82 13  0 |  2 93  4  0 |  0 97  2  0 |  0 95  4  0 |  1 98  0  0 |  0 97  2  0 |  0 98  1  0 
10 x 100 |  4 74 21  0 |  1 93  5  0 |  1 97  1  0 |  0 98  1  0 |  0 98  1  0 |  0 99  0  0 |  0 99  0  0 
15 x  10 | 74 18  6  1 | 18 72  7  2 | 12 83  4  0 |  7 91  1  0 |  3 92  4  0 | 14 81  3  1 |  5 87  7  0 
15 x  20 | 56 18 25  0 |  7 82 10  0 |  5 88  6  0 |  5 91  3  0 |  3 90  6  0 |  4 85 10  0 |  3 85 11  0 
