         |    0,1   |    0,4   |     0,7  |     1,0  |     1,3  |     1,6  |     1,9     
---------+----------+----------+----------+----------+----------+----------+----------
 5 x  10 | 38 20  6 | 17 39  8 | 14 38 12 |  8 40 16 | 13 43  8 |  7 48  9 |  5 45 14 
 5 x  20 | 20 12 32 | 17 29 18 |  5 42 17 |  4 39 21 |  6 44 14 |  5 44 15 |  2 38 24 
 5 x  30 | 24  5 35 |  7 30 27 |  1 37 26 |  7 44 13 |  3 36 25 |  1 48 15 |  4 44 16 
 5 x  40 | 18  6 40 |  7 26 31 |  5 42 17 |  1 42 21 |  1 47 16 |  2 51 11 |  1 49 14 
 5 x  50 | 13  5 46 |  2 27 35 |  0 37 27 |  1 44 19 |  2 42 20 |  4 41 19 |  2 43 19 
 5 x  60 |  9  6 49 |  4 17 43 |  1 34 29 |  0 37 27 |  0 47 17 |  2 36 26 |  0 39 25 
 5 x  70 |  5  1 58 |  3 10 51 |  1 40 23 |  2 38 24 |  3 46 15 |  1 41 22 |  1 44 19 
 5 x  80 | 15  1 48 |  0 14 50 |  0 27 37 |  0 35 29 |  0 31 33 |  0 45 19 |  0 33 31 
 5 x  90 |  7  2 55 |  4 17 43 |  0 31 33 |  0 36 28 |  0 41 23 |  0 40 24 |  0 37 27 
 5 x 100 |  5  1 58 |  2 14 48 |  1 26 37 |  2 33 29 |  0 29 35 |  1 30 33 |  1 35 28 
10 x  10 | 49  6  9 | 16 37 11 | 11 42 11 | 13 33 18 | 10 49  5 |  6 44 14 |  6 46 12 
10 x  20 | 38  4 22 | 18 25 21 |  8 35 21 | 13 39 12 |  2 43 19 |  9 35 20 |  3 39 22 
10 x  30 | 37  3 24 | 17 14 33 | 12 27 25 |  8 35 21 |  4 32 28 |  4 34 26 |  3 38 23 
10 x  40 | 25  1 38 | 13  8 43 |  3 18 43 |  6 31 27 |  2 27 35 |  5 24 35 |  6 31 27 
10 x  50 | 27  0 37 |  7  4 53 |  0 20 44 |  1 28 35 |  1 31 32 |  2 29 33 |  2 33 29 
10 x  60 | 14  0 50 |  4  5 55 |  5  7 52 |  1 22 41 |  2 21 41 |  0 23 41 |  0 22 42 
10 x  70 | 11  0 53 |  7  1 56 |  7  9 48 |  0 20 44 |  3 22 39 |  2 20 42 |  7 12 45 
10 x  80 | 14  0 50 |  8  1 55 |  6  6 52 |  0 18 46 |  4 15 45 |  0 20 44 |  3  8 53 
10 x  90 | 17  0 47 |  1  0 63 |  2  8 54 |  2  8 54 |  0 19 45 |  0 14 50 |  0 12 52 
10 x 100 | 13  0 51 |  3  0 61 |  2 12 50 |  0  7 57 |  0 11 53 |  0 11 53 |  0 10 54 
15 x  10 | 39 11 14 | 17 31 16 | 14 42  8 |  8 44 12 |  6 52  6 | 10 46  8 |  7 52  5 
15 x  20 | 37  5 22 | 22 15 27 | 14 34 16 |  5 39 20 | 11 37 16 |  6 32 26 |  3 44 17 
15 x  30 | 31  1 32 | 14 10 40 | 11 26 27 |  5 32 27 |  6 28 30 |  3 31 30 |  6 25 33 
15 x  40 | 28  0 36 | 13  4 47 | 11 16 37 |  6 23 35 |  2 19 43 |  6 18 40 |  2 16 46 
15 x  50 | 24  0 40 | 12  1 51 |  5 12 47 |  4 13 47 |  5 13 46 |  1 11 52 |  4 11 49 
15 x  60 | 15  0 49 |  9  1 54 | 11  5 48 |  6  3 55 |  3  8 53 |  2  7 55 |  3  6 55 
15 x  70 | 24  0 40 |  8  0 56 |  4  4 56 |  4  6 54 |  3  9 52 |  0  1 63 |  4  3 57 
15 x  80 | 20  0 44 | 13  0 51 |  3  2 59 |  2  5 57 |  4  5 55 |  1  5 58 |  2  2 60 
15 x  90 | 21  0 43 |  4  0 60 |  3  0 61 |  2  4 58 |  5  3 56 |  0  2 62 |  1  2 61 
15 x 100 | 11  0 53 |  3  0 61 |  6  1 57 |  5  2 57 |  1  0 63 |  0  2 62 |  0  2 62 
20 x  10 | 52  9  3 | 28 25 11 | 18 39  7 | 14 42  8 | 10 47  7 | 11 47  6 |  3 53  8 
20 x  20 | 43  2 19 | 18 13 33 | 13 31 20 |  9 42 13 | 11 35 18 |  4 37 23 |  4 27 33 
20 x  30 | 34  0 30 | 14  4 46 | 20 14 30 | 11 27 26 | 10 26 28 |  4 22 38 |  4 24 36 
20 x  40 | 28  0 36 | 21  1 42 | 13 11 40 | 11 16 37 |  7  9 48 |  6 14 44 |  4 17 43 
20 x  50 | 27  0 37 | 10  0 54 | 11  6 47 |  9 12 43 |  7  8 49 |  4 11 49 |  1 13 50 
20 x  60 | 32  0 32 | 10  0 54 |  6  5 53 |  2  6 56 |  5  8 51 |  1  3 60 |  2  1 61 
20 x  70 | 22  0 42 |  6  0 58 |  3  3 58 |  1  1 62 |  1  2 61 |  5  3 56 |  0  1 63 
20 x  80 | 21  0 43 |  3  1 60 |  0  1 63 |  0  4 60 |  2  4 58 |  2  3 59 |  2  2 60 
