         |    0,1   |    0,4   |     0,7  |     1,0  |     1,3  |     1,6  |     1,9     
---------+----------+----------+----------+----------+----------+----------+----------
 5 x  10 | 35 27  2 |  9 52  3 |  8 56  0 | 10 52  2 |  6 57  1 |  2 59  3 |  2 60  2 
 5 x  20 | 19 40  5 |  5 59  0 |  3 60  1 |  0 64  0 |  1 61  2 |  0 63  1 |  2 62  0 
 5 x  30 |  6 56  2 |  2 60  2 |  3 61  0 |  0 64  0 |  1 62  1 |  1 63  0 |  0 64  0 
 5 x  40 |  5 57  2 |  3 60  1 |  1 62  1 |  0 64  0 |  1 62  1 |  0 64  0 |  0 64  0 
 5 x  50 |  6 54  4 |  3 60  1 |  2 62  0 |  0 64  0 |  0 64  0 |  0 63  1 |  0 64  0 
 5 x  60 |  5 55  4 |  1 63  0 |  0 63  1 |  0 64  0 |  0 64  0 |  1 63  0 |  0 64  0 
 5 x  70 |  4 59  1 |  0 62  2 |  0 63  1 |  1 63  0 |  1 63  0 |  0 63  1 |  1 63  0 
 5 x  80 |  1 62  1 |  0 63  1 |  0 64  0 |  0 64  0 |  0 64  0 |  1 63  0 |  0 64  0 
 5 x  90 |  0 62  2 |  1 62  1 |  1 63  0 |  1 63  0 |  1 63  0 |  0 64  0 |  0 63  1 
 5 x 100 |  3 59  2 |  2 61  1 |  1 62  1 |  0 64  0 |  0 64  0 |  0 64  0 |  0 64  0 
10 x  10 | 41 23  0 | 13 51  0 |  5 58  1 |  5 59  0 |  1 63  0 |  3 60  1 |  1 62  1 
10 x  20 | 23 40  1 |  7 57  0 |  1 62  1 |  3 61  0 |  0 64  0 |  0 64  0 |  0 64  0 
10 x  30 | 19 43  2 |  5 59  0 |  2 62  0 |  0 64  0 |  0 64  0 |  0 64  0 |  0 64  0 
10 x  40 | 12 52  0 |  0 64  0 |  3 61  0 |  0 64  0 |  1 63  0 |  0 64  0 |  0 64  0 
10 x  50 |  4 60  0 |  3 61  0 |  1 63  0 |  2 62  0 |  1 62  1 |  0 64  0 |  0 64  0 
10 x  60 |  6 58  0 |  1 63  0 |  0 64  0 |  1 63  0 |  0 64  0 |  0 64  0 |  0 64  0 
10 x  70 |  3 61  0 |  2 62  0 |  0 64  0 |  3 61  0 |  0 64  0 |  1 62  1 |  1 63  0 
10 x  80 |  4 60  0 |  0 63  1 |  2 62  0 |  1 63  0 |  0 64  0 |  0 64  0 |  0 64  0 
10 x  90 |  3 61  0 |  2 61  1 |  0 64  0 |  0 64  0 |  0 64  0 |  1 63  0 |  1 63  0 
10 x 100 |  9 55  0 |  1 63  0 |  2 62  0 |  0 64  0 |  0 64  0 |  0 64  0 |  1 63  0 
15 x  10 | 36 28  0 |  9 53  2 |  6 58  0 |  3 60  1 |  3 61  0 |  1 61  2 |  3 61  0 
15 x  20 | 15 49  0 |  1 63  0 |  3 61  0 |  2 62  0 |  1 62  1 |  0 62  2 |  0 60  4 
15 x  30 | 14 46  4 |  2 61  1 |  2 62  0 |  2 61  1 |  0 63  1 |  0 64  0 |  0 59  5 
15 x  40 | 11 50  3 |  1 63  0 |  2 62  0 |  2 62  0 |  0 64  0 |  0 64  0 |  1 61  2 
15 x  50 |  8 56  0 |  0 63  1 |  2 62  0 |  0 64  0 |  0 64  0 |  1 63  0 |  1 60  3 
15 x  60 |  4 60  0 |  2 62  0 |  2 62  0 |  1 63  0 |  0 64  0 |  0 63  1 |  0 64  0 
15 x  70 | 12 52  0 |  0 64  0 |  1 63  0 |  1 63  0 |  2 62  0 |  0 64  0 |  0 64  0 
15 x  80 |  4 59  1 |  0 63  1 |  1 63  0 |  0 64  0 |  0 64  0 |  0 64  0 |  0 62  2 
15 x  90 |  8 54  2 |  1 63  0 |  0 63  1 |  0 64  0 |  0 64  0 |  0 64  0 |  0 64  0 
15 x 100 |  4 59  1 |  0 63  1 |  0 64  0 |  1 63  0 |  2 61  1 |  0 64  0 |  0 64  0 
20 x  10 | 34 30  0 | 10 52  2 |  8 56  0 |  5 59  0 |  4 59  1 |  6 55  3 |  4 59  1 
20 x  20 | 22 40  2 |  4 59  1 |  2 62  0 |  3 61  0 |  0 64  0 |  1 61  2 |  1 60  3 
20 x  30 | 12 52  0 |  2 62  0 |  3 61  0 |  0 64  0 |  0 63  1 |  0 62  2 |  1 59  4 
20 x  40 | 16 48  0 |  3 61  0 |  1 63  0 |  0 64  0 |  2 62  0 |  0 63  1 |  0 63  1 
20 x  50 | 10 54  0 |  4 60  0 |  1 63  0 |  0 64  0 |  0 64  0 |  0 64  0 |  0 61  3 
20 x  60 | 10 53  1 |  3 61  0 |  1 63  0 |  0 64  0 |  0 64  0 |  1 63  0 |  0 63  1 
20 x  70 |  3 60  1 |  5 59  0 |  0 64  0 |  1 63  0 |  0 64  0 |  1 63  0 |  0 63  1 
20 x  80 |  4 59  1 |  1 63  0 |  0 64  0 |  1 63  0 |  2 62  0 |  0 64  0 |  0 64  0 
20 x  90 |  2 60  2 |  2 61  1 |  1 63  0 |  0 64  0 |  0 64  0 |  0 64  0 |  0 64  0 
20 x 100 |  2 62  0 |  2 62  0 |  3 61  0 |  1 63  0 |  1 63  0 |  0 64  0 |  0 64  0 
25 x  10 | 37 27  0 | 10 54  0 |  6 58  0 |  2 62  0 |  3 61  0 |  1 63  0 |  5 59  0 
25 x  20 | 27 37  0 |  7 57  0 |  3 61  0 |  4 60  0 |  1 63  0 |  0 62  2 |  1 58  5 
25 x  30 | 12 52  0 |  4 60  0 |  2 62  0 |  1 63  0 |  2 60  2 |  1 61  2 |  0 57  7 
25 x  40 |  9 55  0 |  2 62  0 |  5 59  0 |  2 62  0 |  1 63  0 |  0 63  1 |  2 56  6 
25 x  50 | 14 50  0 |  0 64  0 |  1 63  0 |  0 64  0 |  1 63  0 |  1 59  4 |  0 58  6 
25 x  60 | 11 52  1 |  0 64  0 |  2 61  1 |  0 64  0 |  1 63  0 |  0 63  1 |  0 60  4 
25 x  70 |  4 60  0 |  0 64  0 |  1 63  0 |  0 64  0 |  1 63  0 |  1 60  3 |  1 58  5 
25 x  80 |  5 59  0 |  3 61  0 |  1 63  0 |  1 63  0 |  0 64  0 |  1 63  0 |  0 59  5 
25 x  90 |  6 58  0 |  0 64  0 |  0 64  0 |  0 64  0 |  0 63  1 |  0 62  2 |  0 63  1 
25 x 100 |  7 57  0 |  3 61  0 |  1 63  0 |  0 64  0 |  0 64  0 |  2 60  2 |  1 63  0 
