         |    0,1   |    0,4   |     0,7  |     1,0  |     1,3  |     1,6  |     1,9     
---------+----------+----------+----------+----------+----------+----------+----------
 5 x  10 | 35 19 10 |  7 51  6 |  5 58  1 |  4 58  2 |  3 58  3 |  1 60  3 |  1 62  1 
 5 x  20 | 23 24 17 |  4 55  5 |  2 58  4 |  1 58  5 |  5 56  3 |  2 59  3 |  0 57  7 
 5 x  30 | 11 27 26 |  4 55  5 |  4 58  2 |  2 59  3 |  1 60  3 |  0 62  2 |  2 61  1 
 5 x  40 | 16 23 25 |  3 58  3 |  0 62  2 |  0 60  4 |  1 61  2 |  1 59  4 |  1 59  4 
 5 x  50 |  8 30 26 |  0 48 16 |  1 61  2 |  2 56  6 |  1 59  4 |  0 64  0 |  1 61  2 
 5 x  60 |  6 20 38 |  1 52 11 |  2 56  6 |  3 57  4 |  4 58  2 |  0 62  2 |  0 61  3 
 5 x  70 |  3 24 37 |  2 57  5 |  1 55  8 |  1 59  4 |  1 59  4 |  1 62  1 |  0 59  5 
 5 x  80 |  2 29 33 |  2 54  8 |  0 60  4 |  0 60  4 |  0 64  0 |  2 61  1 |  0 59  5 
 5 x  90 | 10 25 29 |  1 49 14 |  0 60  4 |  2 56  6 |  0 62  2 |  0 63  1 |  1 60  3 
 5 x 100 |  7 24 33 |  1 52 11 |  0 62  2 |  0 59  5 |  2 57  5 |  1 61  2 |  0 63  1 
10 x  10 | 43  9 12 | 18 40  6 | 12 47  5 |  7 56  1 |  4 58  2 |  2 58  4 |  3 55  6 
10 x  20 | 22  5 37 | 10 40 14 |  7 50  7 |  3 58  3 |  2 55  7 |  0 58  6 |  3 52  9 
10 x  30 | 21  1 42 |  6 41 17 |  5 46 13 |  3 51 10 |  4 57  3 |  2 51 11 |  1 51 12 
10 x  40 | 20  0 44 |  7 33 24 |  5 42 17 |  6 50  8 |  2 53  9 |  4 50 10 |  7 37 20 
10 x  50 | 13  0 51 | 10 30 24 |  5 41 18 |  5 50  9 |  7 51  6 |  3 50 11 |  5 43 16 
10 x  60 | 10  0 54 | 10 29 25 |  1 48 15 |  3 53  8 |  4 50 10 |  5 50  9 |  1 44 19 
10 x  70 | 11  0 53 |  4 30 30 |  4 46 14 |  1 52 11 |  2 54  8 |  1 51 12 |  1 42 21 
10 x  80 | 10  0 54 |  5 28 31 |  1 47 16 |  3 49 12 |  4 47 13 |  5 44 15 |  1 41 22 
10 x  90 |  6  0 58 |  4 30 30 |  6 41 17 |  1 54  9 |  3 46 15 |  1 45 18 |  2 38 24 
10 x 100 |  8  0 56 |  7 28 29 |  2 41 21 |  1 57  6 |  3 49 12 |  1 46 17 |  3 45 16 
15 x  10 | 45 11  8 | 14 41  9 | 15 47  2 |  6 56  2 |  7 54  3 |  2 61  1 |  0 61  3 
15 x  20 | 41  1 22 | 16 33 15 |  7 44 13 | 12 47  5 |  5 53  6 |  4 46 14 |  2 44 18 
15 x  30 | 19  1 44 | 16 25 23 |  7 43 14 |  6 46 12 |  4 51  9 |  1 43 20 |  2 41 21 
15 x  40 | 14  0 50 | 15 25 24 |  5 45 14 |  7 50  7 |  2 47 15 |  3 43 18 |  5 36 23 
15 x  50 | 15  0 49 | 10 23 31 |  4 42 18 |  4 47 13 |  3 44 17 |  4 49 11 |  2 43 19 
15 x  60 | 13  0 51 |  8 20 36 | 11 41 12 |  5 42 17 |  6 38 20 |  3 41 20 |  1 38 25 
15 x  70 | 14  0 50 |  6 26 32 |  6 40 18 |  1 47 16 |  4 45 15 |  3 39 22 |  2 39 23 
15 x  80 | 13  0 51 |  3 22 39 |  7 40 17 |  3 41 20 |  3 47 14 |  0 40 24 |  0 35 29 
15 x  90 | 12  0 52 | 12 17 35 |  8 35 21 |  2 42 20 |  2 39 23 |  3 40 21 |  4 33 27 
15 x 100 |  7  0 57 |  9 15 40 |  3 35 26 |  2 47 15 |  2 39 23 |  2 29 33 |  1 29 34 
20 x  10 | 52  7  5 | 16 40  8 |  8 51  5 |  9 51  4 |  8 54  2 |  6 56  2 |  5 54  5 
20 x  20 | 38  0 26 | 15 31 18 | 12 40 12 | 11 45  8 |  4 50 10 |  3 48 13 |  3 47 14 
20 x  30 | 21  0 43 |  8 30 26 |  6 45 13 |  6 48 10 |  3 54  7 |  7 44 13 |  5 39 20 
20 x  40 | 18  0 46 | 16 18 30 |  8 42 14 |  5 48 11 |  2 48 14 |  3 44 17 |  5 30 29 
20 x  50 | 18  0 46 | 11 16 37 |  5 43 16 |  5 45 14 |  4 43 17 |  4 37 23 |  4 32 28 
20 x  60 | 16  0 48 | 12 14 38 |  5 47 12 |  3 45 16 |  5 38 21 |  2 37 25 |  4 33 27 
20 x  70 | 19  0 45 |  9 12 43 | 10 35 19 |  4 37 23 |  4 46 14 |  2 43 19 |  2 28 34 
20 x  80 | 11  0 53 | 11  9 44 |  4 38 22 |  8 39 17 |  3 41 20 |  1 40 23 |  1 28 35 
20 x  90 | 15  0 49 | 14  7 43 |  2 34 28 |  4 38 22 |  2 38 24 |  2 35 27 |  5 24 35 
20 x 100 |  9  0 55 | 12 12 40 |  6 31 27 |  1 32 31 |  4 34 26 |  2 35 27 |  2 25 37 
25 x  10 | 56  3  5 | 23 34  7 | 18 44  2 |  8 52  4 |  5 55  4 |  7 54  3 |  1 61  2 
25 x  20 | 43  0 21 | 20 27 17 | 12 39 13 |  8 52  4 |  6 52  6 |  2 48 14 |  2 51 11 
25 x  30 | 26  0 38 | 15 26 23 |  8 46 10 |  7 43 14 |  6 43 15 |  2 45 17 |  5 40 19 
25 x  40 | 27  0 37 | 16 20 28 |  6 38 20 |  7 43 14 |  3 41 20 |  2 38 24 |  3 33 28 
25 x  50 | 18  0 46 | 12 14 38 |  5 40 19 |  4 45 15 |  3 41 20 |  5 34 25 |  6 29 29 
25 x  60 | 16  0 48 | 16  7 41 |  8 36 20 |  8 38 18 |  3 42 19 |  2 38 24 |  6 23 35 
25 x  70 | 10  0 54 | 10 13 41 | 11 30 23 |  3 44 17 |  0 43 21 |  2 35 27 |  6 25 33 
25 x  80 | 15  0 49 | 10  5 49 |  4 32 28 |  6 36 22 |  7 27 30 |  1 26 37 |  3 23 38 
25 x  90 | 13  0 51 | 13  9 42 |  7 36 21 |  9 31 24 |  4 27 33 |  5 23 36 |  1 19 44 
25 x 100 |  8  0 56 |  9  5 50 |  2 24 38 |  7 26 31 |  5 21 38 |  4 15 45 |  3 17 44 
