         |    0,1   |    0,4   |     0,7  |     1,0  |     1,3  |     1,6  |     1,9     
---------+----------+----------+----------+----------+----------+----------+----------
 5 x  10 | 31 26  7 |  7 54  3 |  9 55  0 |  2 62  0 |  1 61  2 |  0 61  3 |  2 62  0 
 5 x  20 | 16 43  5 |  1 63  0 |  3 61  0 |  0 64  0 |  0 64  0 |  0 64  0 |  1 61  2 
 5 x  30 |  7 53  4 |  3 59  2 |  2 62  0 |  0 62  2 |  1 63  0 |  1 63  0 |  0 62  2 
 5 x  40 |  6 52  6 |  4 60  0 |  1 61  2 |  1 63  0 |  0 64  0 |  0 64  0 |  1 62  1 
 5 x  50 |  6 51  7 |  0 62  2 |  0 64  0 |  1 63  0 |  0 63  1 |  0 63  1 |  0 64  0 
 5 x  60 |  6 54  4 |  1 62  1 |  0 63  1 |  0 64  0 |  0 64  0 |  0 64  0 |  1 63  0 
 5 x  70 |  5 58  1 |  2 60  2 |  2 62  0 |  0 64  0 |  0 64  0 |  0 63  1 |  0 64  0 
 5 x  80 |  3 55  6 |  1 61  2 |  1 63  0 |  0 64  0 |  0 64  0 |  1 63  0 |  0 64  0 
 5 x  90 |  3 56  5 |  1 62  1 |  0 64  0 |  0 64  0 |  1 63  0 |  2 62  0 |  0 64  0 
 5 x 100 |  4 57  3 |  0 63  1 |  0 63  1 |  1 63  0 |  0 64  0 |  0 63  1 |  0 63  1 
10 x  10 | 38 19  7 | 12 50  2 |  5 57  2 |  5 58  1 |  2 58  4 |  3 61  0 |  2 59  3 
10 x  20 | 27 22 15 |  6 52  6 |  4 58  2 |  3 59  2 |  6 56  2 |  3 61  0 |  1 62  1 
10 x  30 | 17 30 17 |  2 57  5 |  2 60  2 |  2 61  1 |  0 63  1 |  1 60  3 |  0 57  7 
10 x  40 |  9 37 18 |  1 56  7 |  2 60  2 |  0 60  4 |  2 62  0 |  1 60  3 |  0 62  2 
10 x  50 |  9 44 11 |  0 61  3 |  0 59  5 |  2 61  1 |  0 64  0 |  0 64  0 |  1 61  2 
10 x  60 |  5 39 20 |  0 58  6 |  2 59  3 |  0 64  0 |  0 63  1 |  0 63  1 |  1 61  2 
10 x  70 |  1 48 15 |  2 56  6 |  1 63  0 |  0 64  0 |  0 64  0 |  0 63  1 |  0 63  1 
10 x  80 |  8 44 12 |  2 60  2 |  1 61  2 |  1 63  0 |  0 63  1 |  0 64  0 |  0 64  0 
10 x  90 |  3 46 15 |  2 58  4 |  1 63  0 |  1 62  1 |  0 63  1 |  0 63  1 |  0 63  1 
10 x 100 |  1 50 13 |  0 61  3 |  0 60  4 |  0 62  2 |  0 63  1 |  0 64  0 |  0 64  0 
15 x  10 | 46 10  8 | 11 49  4 |  4 58  2 |  9 53  2 |  5 54  5 |  6 55  3 |  5 56  3 
15 x  20 | 32 10 22 |  9 49  6 |  7 53  4 |  3 56  5 |  2 58  4 |  3 56  5 |  2 53  9 
15 x  30 | 27 11 26 |  3 54  7 |  1 60  3 |  2 58  4 |  2 56  6 |  0 54 10 |  0 53 11 
15 x  40 | 13 18 33 |  2 53  9 |  1 59  4 |  3 57  4 |  1 60  3 |  1 57  6 |  0 51 13 
15 x  50 | 15 13 36 |  5 55  4 |  2 58  4 |  0 58  6 |  1 60  3 |  1 58  5 |  0 57  7 
15 x  60 | 17 20 27 |  2 58  4 |  1 58  5 |  1 60  3 |  1 60  3 |  1 59  4 |  0 55  9 
15 x  70 | 11 25 28 |  1 55  8 |  2 59  3 |  1 60  3 |  1 61  2 |  0 59  5 |  0 59  5 
15 x  80 | 10 29 25 |  2 59  3 |  0 63  1 |  0 61  3 |  0 63  1 |  1 61  2 |  1 53 10 
15 x  90 |  5 34 25 |  3 55  6 |  1 57  6 |  2 61  1 |  1 61  2 |  1 61  2 |  1 56  7 
15 x 100 |  9 34 21 |  1 57  6 |  4 58  2 |  2 58  4 |  1 62  1 |  0 62  2 |  0 54 10 
20 x  10 | 45 13  6 | 17 45  2 | 14 49  1 | 10 52  2 |  7 56  1 |  2 62  0 |  3 59  2 
20 x  20 | 39  6 19 |  8 48  8 |  6 52  6 |  4 57  3 |  1 55  8 |  2 55  7 |  2 46 16 
20 x  30 | 28  3 33 |  6 45 13 |  2 58  4 |  2 57  5 |  4 56  4 |  3 53  8 |  0 50 14 
20 x  40 | 21  6 37 |  8 43 13 |  1 55  8 |  3 56  5 |  3 57  4 |  2 50 12 |  0 51 13 
20 x  50 | 16 10 38 |  1 52 11 |  2 57  5 |  0 59  5 |  3 57  4 |  1 52 11 |  1 47 16 
20 x  60 | 19  9 36 |  3 51 10 |  3 57  4 |  1 63  0 |  0 60  4 |  3 49 12 |  2 49 13 
20 x  70 | 16 14 34 |  4 47 13 |  1 61  2 |  1 61  2 |  1 60  3 |  0 54 10 |  0 53 11 
20 x  80 | 12 11 41 |  2 51 11 |  2 55  7 |  1 62  1 |  0 61  3 |  2 54  8 |  0 57  7 
20 x  90 | 17 16 31 |  0 53 11 |  1 59  4 |  0 61  3 |  0 62  2 |  0 59  5 |  0 50 14 
20 x 100 |  5 19 40 |  2 49 13 |  2 52 10 |  3 59  2 |  0 60  4 |  0 61  3 |  0 51 13 
25 x  10 | 48  6 10 | 14 48  2 |  6 54  4 |  4 58  2 |  4 59  1 |  3 59  2 |  4 59  1 
25 x  20 | 36  4 24 | 11 45  8 |  7 50  7 |  7 51  6 |  5 53  6 |  3 52  9 |  0 50 14 
25 x  30 | 32  3 29 |  7 44 13 |  6 52  6 |  1 55  8 |  4 51  9 |  1 49 14 |  1 40 23 
25 x  40 | 27  2 35 |  6 47 11 |  2 54  8 |  4 54  6 |  2 51 11 |  1 49 14 |  0 45 19 
25 x  50 | 25  3 36 |  9 46  9 |  4 52  8 |  2 59  3 |  3 49 12 |  2 40 22 |  0 38 26 
25 x  60 | 22  7 35 |  5 46 13 |  1 56  7 |  6 52  6 |  2 55  7 |  1 45 18 |  0 43 21 
25 x  70 | 22  3 39 |  9 41 14 |  3 56  5 |  2 54  8 |  1 52 11 |  1 44 19 |  1 43 20 
25 x  80 | 16  6 42 |  3 56  5 |  6 50  8 |  2 58  4 |  0 58  6 |  2 51 11 |  2 37 25 
25 x  90 | 13  4 47 |  2 51 11 |  3 55  6 |  3 59  2 |  1 60  3 |  0 37 27 |  0 34 30 
25 x 100 | 17  5 42 |  5 48 11 |  2 50 12 |  1 59  4 |  3 55  6 |  1 47 16 |  1 39 24 
