         |    0,1   |    0,2   |    0,3   |    0,4   |    0,5   |    0,6   |    0,7   |    0,8   |    0,9   |    1,0   
---------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------
 5 x  10 | 31 23 10 | 22 24 18 | 15 33 16 | 14 38 12 | 10 40 14 |  8 35 21 |  5 45 14 |  9 42 13 |  9 47  8 |  8 39 17 
 5 x  20 | 17 11 36 |  8 13 43 |  5 30 29 |  1 29 34 |  1 38 25 |  3 31 30 |  4 34 26 |  1 35 28 |  3 38 23 |  5 40 19 
 5 x  30 |  5  9 50 |  3 18 43 |  1 27 36 |  1 27 36 |  3 32 29 |  2 32 30 |  3 34 27 |  1 47 16 |  2 37 25 |  2 42 20 
 5 x  40 |  7  7 50 |  5 15 44 |  2 17 45 |  1 21 42 |  1 25 38 |  1 31 32 |  1 40 23 |  0 36 28 |  0 33 31 |  1 37 26 
 5 x  50 |  6  7 51 |  5  6 53 |  4 12 48 |  0 20 44 |  3 28 33 |  1 31 32 |  1 30 33 |  0 38 26 |  4 33 27 |  0 39 25 
 5 x  60 |  4  2 58 |  2 16 46 |  1 13 50 |  0 18 46 |  3 20 41 |  1 28 35 |  2 29 33 |  0 35 29 |  0 32 32 |  0 37 27 
 5 x  70 |  6  4 54 |  2  4 58 |  1 11 52 |  1 15 48 |  1 24 39 |  1 28 35 |  0 34 30 |  0 33 31 |  1 30 33 |  2 41 21 
 5 x  80 |  4  3 57 |  1  4 59 |  0 19 45 |  1 19 44 |  0 22 42 |  1 26 37 |  1 29 34 |  3 38 23 |  0 32 32 |  2 30 32 
 5 x  90 |  3  2 59 |  3  1 60 |  1 11 52 |  0 16 48 |  0 26 38 |  0 31 33 |  1 29 34 |  0 35 29 |  0 29 35 |  2 39 23 
 5 x 100 |  2  3 59 |  3  3 58 |  0 11 53 |  0 22 42 |  0 25 39 |  2 27 35 |  1 25 38 |  0 26 38 |  0 38 26 |  0 36 28 
10 x  10 | 43 14  7 | 27 19 18 | 14 32 18 | 16 35 13 | 13 34 17 |  7 43 14 | 16 37 11 | 11 35 18 | 10 44 10 | 10 36 18 
10 x  20 | 15  9 40 |  9  7 48 |  5 16 43 |  2 17 45 |  3 17 44 |  2 18 44 |  7 28 29 |  5 40 19 |  5 31 28 |  2 32 30 
10 x  30 | 11  5 48 |  5  6 53 |  6  3 55 |  6 11 47 |  2 17 45 |  4 21 39 |  5 18 41 |  5 29 30 |  2 27 35 |  2 24 38 
10 x  40 |  8  4 52 |  5  5 54 |  4  5 55 |  3 10 51 |  2  7 55 |  2 15 47 |  2 22 40 |  3 17 44 |  5 18 41 |  3 17 44 
10 x  50 |  7  2 55 |  6  3 55 |  1  1 62 |  3  2 59 |  1 10 53 |  1  6 57 |  0 15 49 |  2 14 48 |  0 16 48 |  3 17 44 
10 x  60 |  5  0 59 |  4  2 58 |  2  0 62 |  1  6 57 |  0  6 58 |  1  7 56 |  0 13 51 |  0 13 51 |  1 11 52 |  2 10 52 
10 x  70 |  4  2 58 |  3  0 61 |  2  0 62 |  2 12 50 |  1  7 56 |  1  9 54 |  1 13 50 |  0 12 52 |  2 10 52 |  2 12 50 
10 x  80 |  3  0 61 |  5  1 58 |  0  3 61 |  2  1 61 |  1  6 57 |  0 10 54 |  1 11 52 |  0 10 54 |  2  9 53 |  1 12 51 
10 x  90 |  4  0 60 |  0  0 64 |  0  1 63 |  2  1 61 |  0  2 62 |  0  6 58 |  1  6 57 |  1  5 58 |  0  9 55 |  1  4 59 
10 x 100 |  3  0 61 |  0  0 64 |  0  0 64 |  1  0 63 |  0  4 60 |  3  2 59 |  1  7 56 |  0  4 60 |  0  4 60 |  1  4 59 
15 x  10 | 55  8  1 | 36 19  9 | 16 31 17 | 23 21 20 | 21 21 22 | 18 28 18 |  9 38 17 |  9 34 21 | 16 31 17 | 11 32 21 
15 x  20 | 12 19 33 |  8 11 45 |  8  5 51 |  4 11 49 |  4 15 45 |  4 14 46 |  2 19 43 |  6 21 37 |  8 21 35 |  3 27 34 
15 x  30 | 13  8 43 |  5  5 54 |  6  3 55 |  2  3 59 |  1  9 54 |  0 14 50 |  4 13 47 |  5 16 43 |  7 14 43 |  3 13 48 
15 x  40 |  6  2 56 |  3  2 59 |  4  2 58 |  3  2 59 |  0  3 61 |  0  3 61 |  0  8 56 |  1  5 58 |  4 12 48 |  2 11 51 
15 x  50 |  2  5 57 |  5  2 57 |  2  0 62 |  3  1 60 |  1  3 60 |  2  2 60 |  1  1 62 |  0  7 57 |  1  5 58 |  4  7 53 
15 x  60 |  7  2 55 |  3  1 60 |  4  0 60 |  0  2 62 |  2  0 62 |  0  2 62 |  0  2 62 |  0  3 61 |  1  3 60 |  7  5 52 
15 x  70 |  5  1 58 |  2  2 60 |  3  1 60 |  0  2 62 |  1  4 59 |  0  1 63 |  1  3 60 |  2  2 60 |  1  1 62 |  1  2 61 
15 x  80 |  3  2 59 |  4  1 59 |  4  0 60 |  1  2 61 |  2  0 62 |  3  0 61 |  0  0 64 |  1  2 61 |  3  1 60 |  3  2 59 
15 x  90 |  3  0 61 |  1  0 63 |  2  0 62 |  0  0 64 |  1  0 63 |  0  0 64 |  1  0 63 |  0  1 63 |  2  1 61 |  2  0 62 
15 x 100 |  1  2 61 |  1  2 61 |  2  0 62 |  1  0 63 |  0  2 62 |  0  0 64 |  0  0 64 |  1  1 62 |  0  1 63 |  1  1 62 
20 x  10 | 49 12  3 | 40 19  5 | 27 21 16 | 23 22 19 | 19 23 22 | 15 28 21 | 15 28 21 | 15 30 19 | 18 29 17 | 16 37 11 
20 x  20 | 16 24 24 | 11 14 39 |  7 12 45 |  1 13 50 |  4 11 49 |  3 16 45 |  5 13 46 |  8 14 42 |  4 18 42 |  5 25 34 
20 x  30 | 13  8 43 |  5  6 53 |  3  2 59 |  2  3 59 |  1  7 56 |  4  6 54 |  3  4 57 |  3  7 54 |  4 12 48 |  7 12 45 
