         |    0,1   |    0,2   |    0,3   |    0,4   |    0,5   |    0,6   |    0,7   |    0,8   |    0,9   |    1,0   
---------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------
 5 x  10 | 35 19 10 | 19 29 16 | 17 36 11 | 13 45  6 | 12 46  6 | 11 50  3 |  7 51  6 |  5 56  3 |  8 51  5 |  6 55  3 
 5 x  20 | 19 25 20 |  5 36 23 |  4 49 11 |  4 52  8 |  3 57  4 |  2 57  5 |  3 54  7 |  1 57  6 |  3 57  4 |  1 59  4 
 5 x  30 | 12 23 29 |  7 37 20 |  3 48 13 |  2 50 12 |  2 52 10 |  1 57  6 |  2 58  4 |  1 56  7 |  1 60  3 |  0 59  5 
 5 x  40 |  7 26 31 |  3 48 13 |  6 53  5 |  3 47 14 |  3 56  5 |  1 58  5 |  1 57  6 |  2 60  2 |  0 59  5 |  1 59  4 
 5 x  50 |  7 24 33 |  3 44 17 |  1 51 12 |  2 49 13 |  1 61  2 |  1 56  7 |  1 60  3 |  2 60  2 |  2 60  2 |  4 55  5 
 5 x  60 |  8 31 25 |  2 52 10 |  2 51 11 |  1 55  8 |  1 57  6 |  3 52  9 |  0 60  4 |  0 61  3 |  1 58  5 |  0 62  2 
 5 x  70 |  4 35 25 |  3 49 12 |  2 58  4 |  0 58  6 |  4 50 10 |  0 56  8 |  0 62  2 |  0 64  0 |  0 62  2 |  0 61  3 
 5 x  80 |  3 34 27 |  1 50 13 |  0 54 10 |  1 56  7 |  0 60  4 |  0 59  5 |  1 59  4 |  0 56  8 |  0 61  3 |  0 62  2 
 5 x  90 |  6 37 21 |  0 55  9 |  1 52 11 |  0 58  6 |  1 57  6 |  0 60  4 |  1 61  2 |  1 63  0 |  1 63  0 |  1 60  3 
 5 x 100 |  2 44 18 |  4 50 10 |  0 53 11 |  1 59  4 |  0 56  8 |  1 60  3 |  0 59  5 |  0 62  2 |  1 58  5 |  0 63  1 
10 x  10 | 41 14  9 | 21 25 18 | 19 32 13 | 12 36 16 | 16 40  8 | 11 41 12 |  9 49  6 |  8 49  7 |  4 51  9 |  4 51  9 
10 x  20 | 23 13 28 |  8 28 28 |  4 33 27 |  4 36 24 |  2 46 16 |  5 42 17 |  2 57  5 |  3 55  6 |  3 55  6 |  2 50 12 
10 x  30 | 15 11 38 |  6 30 28 |  5 33 26 |  5 40 19 |  2 54  8 |  0 50 14 |  7 47 10 |  3 55  6 |  0 56  8 |  1 61  2 
10 x  40 | 11  6 47 |  7 20 37 |  3 34 27 |  2 48 14 |  0 49 15 |  0 55  9 |  2 55  7 |  2 50 12 |  0 52 12 |  1 53 10 
10 x  50 |  5  6 53 |  0 26 38 |  2 42 20 |  1 43 20 |  1 47 16 |  0 53 11 |  0 56  8 |  1 56  7 |  1 55  8 |  0 61  3 
10 x  60 |  6  7 51 |  3 31 30 |  2 36 26 |  0 51 13 |  0 51 13 |  2 52 10 |  1 56  7 |  3 51 10 |  1 60  3 |  1 57  6 
10 x  70 |  3  7 54 |  3 23 38 |  2 48 14 |  2 46 16 |  0 55  9 |  0 50 14 |  1 53 10 |  0 59  5 |  0 61  3 |  0 58  6 
10 x  80 |  6 10 48 |  3 31 30 |  1 38 25 |  1 54  9 |  1 51 12 |  1 54  9 |  1 55  8 |  1 53 10 |  1 54  9 |  2 57  5 
10 x  90 |  6 12 46 |  3 31 30 |  1 38 25 |  1 47 16 |  1 55  8 |  1 51 12 |  2 57  5 |  0 57  7 |  0 53 11 |  1 54  9 
10 x 100 |  3  7 54 |  1 34 29 |  2 29 33 |  0 47 17 |  0 56  8 |  0 56  8 |  0 60  4 |  0 58  6 |  0 59  5 |  1 55  8 
15 x  10 | 39 19  6 | 30 20 14 | 25 29 10 | 18 29 17 | 17 33 14 |  9 41 14 |  8 44 12 | 10 44 10 | 10 47  7 |  9 47  8 
15 x  20 | 15 16 33 |  9 15 40 | 10 21 33 |  5 29 30 |  2 40 22 |  6 36 22 |  6 43 15 |  2 48 14 |  2 53  9 |  2 49 13 
15 x  30 | 13 11 40 |  4 13 47 |  2 19 43 |  1 35 28 |  0 30 34 |  1 45 18 |  0 49 15 |  0 51 13 |  2 49 13 |  0 51 13 
15 x  40 |  8  5 51 |  3 11 50 |  3 21 40 |  0 28 36 |  5 37 22 |  1 46 17 |  0 46 18 |  1 45 18 |  3 53  8 |  1 51 12 
15 x  50 |  5  3 56 |  2 10 52 |  1 26 37 |  5 27 32 |  2 43 19 |  0 46 18 |  1 41 22 |  1 44 19 |  1 46 17 |  0 55  9 
15 x  60 |  3  3 58 |  1  4 59 |  2 25 37 |  0 44 20 |  1 44 19 |  0 41 23 |  0 47 17 |  0 52 12 |  0 51 13 |  0 50 14 
15 x  70 |  2  2 60 |  4 13 47 |  0 28 36 |  0 28 36 |  0 45 19 |  1 42 21 |  2 42 20 |  0 50 14 |  0 50 14 |  2 56  6 
15 x  80 |  2  6 56 |  2  6 56 |  2 25 37 |  0 38 26 |  3 44 17 |  2 43 19 |  0 54 10 |  0 53 11 |  1 55  8 |  0 52 12 
15 x  90 |  7  5 52 |  2  6 56 |  1 23 40 |  0 36 28 |  0 41 23 |  1 45 18 |  0 51 13 |  0 51 13 |  2 48 14 |  1 51 12 
