         |    0,1   |    0,2   |    0,3   |    0,4   |    0,5   |    0,6   |    0,7   |    0,8   |    0,9   |    1,0   
---------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------
 5 x  10 | 40 12 12 | 20 32 12 | 15 35 14 | 15 35 14 |  9 36 19 |  7 43 14 |  8 45 11 |  7 52  5 | 11 50  3 | 10 50  4 
 5 x  20 | 22 12 30 | 12 18 34 |  6 29 29 |  4 31 29 |  3 39 22 |  1 45 18 |  6 42 16 |  5 53  6 |  0 53 11 |  1 51 12 
 5 x  30 | 13  6 45 |  5 21 38 |  5 28 31 |  6 31 27 |  3 44 17 |  5 41 18 |  0 47 17 |  3 45 16 |  2 52 10 |  3 53  8 
 5 x  40 |  8  4 52 |  4 18 42 |  6 20 38 |  1 34 29 |  0 47 17 |  1 49 14 |  2 46 16 |  0 48 16 |  3 48 13 |  0 52 12 
 5 x  50 |  9  6 49 |  3 11 50 |  1 25 38 |  2 39 23 |  1 44 19 |  2 48 14 |  2 45 17 |  1 48 15 |  0 51 13 |  3 45 16 
 5 x  60 |  3  2 59 |  3  9 52 |  0 28 36 |  0 36 28 |  0 40 24 |  1 39 24 |  1 51 12 |  1 46 17 |  1 47 16 |  0 54 10 
 5 x  70 |  2  1 61 |  2 10 52 |  0 25 39 |  3 35 26 |  0 40 24 |  0 50 14 |  0 47 17 |  1 46 17 |  0 50 14 |  0 55  9 
 5 x  80 |  6  1 57 |  1  3 60 |  6 23 35 |  2 38 24 |  3 31 30 |  0 48 16 |  1 50 13 |  0 48 16 |  0 46 18 |  0 52 12 
 5 x  90 |  3  1 60 |  3  4 57 |  3 21 40 |  0 27 37 |  0 33 31 |  3 43 18 |  0 51 13 |  1 47 16 |  0 45 19 |  0 54 10 
 5 x 100 |  2  2 60 |  3  4 57 |  1 27 36 |  2 35 27 |  2 42 20 |  1 35 28 |  1 45 18 |  2 47 15 |  0 48 16 |  1 53 10 
10 x  10 | 45 12  7 | 27 21 16 | 21 21 22 | 24 27 13 | 21 33 10 | 17 34 13 | 14 37 13 | 11 41 12 |  9 45 10 | 13 39 12 
10 x  20 | 14 10 40 | 10 11 43 |  5  8 51 |  2 24 38 |  6 19 39 |  4 25 35 |  2 40 22 |  4 36 24 |  2 43 19 |  6 44 14 
10 x  30 | 13 10 41 |  4  6 54 |  7  8 49 |  2  7 55 |  5 17 42 |  1 28 35 |  3 30 31 |  0 37 27 |  2 36 26 |  4 35 25 
10 x  40 |  8  8 48 |  5  4 55 |  4  1 59 |  0  4 60 |  3 14 47 |  4 24 36 |  3 26 35 |  3 25 36 |  4 34 26 |  3 43 18 
10 x  50 | 10  2 52 |  4  1 59 |  2  1 61 |  1  8 55 |  4  8 52 |  2 24 38 |  1 28 35 |  0 31 33 |  2 38 24 |  4 36 24 
10 x  60 |  7  4 53 |  3  0 61 |  1  0 63 |  1  6 57 |  3  9 52 |  2 15 47 |  2 22 40 |  4 33 27 |  1 31 32 |  2 39 23 
10 x  70 |  6  0 58 |  2  0 62 |  0  1 63 |  1  1 62 |  2  9 53 |  0 19 45 |  3 20 41 |  0 29 35 |  2 37 25 |  1 38 25 
10 x  80 |  2  3 59 |  3  0 61 |  1  1 62 |  0  1 63 |  4  8 52 |  3 10 51 |  3 30 31 |  2 28 34 |  2 29 33 |  0 37 27 
10 x  90 |  4  0 60 |  5  0 59 |  1  1 62 |  0  0 64 |  1  9 54 |  4 17 43 |  2 22 40 |  0 30 34 |  0 30 34 |  0 36 28 
10 x 100 |  2  1 61 |  2  0 62 |  1  1 62 |  3  1 60 |  1  8 55 |  5 11 48 |  1 21 42 |  2 20 42 |  2 32 30 |  0 40 24 
15 x  10 | 43 17  4 | 36 18 10 | 25 18 21 | 26 18 20 | 17 29 18 | 14 33 17 | 13 32 19 |  9 40 15 | 17 35 12 |  8 45 11 
