         |    0,1   |    0,2   |    0,3   |    0,4   |    0,5   |    0,6   |    0,7   |    0,8   |    0,9   |    1,0   
---------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------
 5 x  10 | 64  0  0 | 63  1  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 
 5 x  20 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 
 5 x  30 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 
 5 x  40 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 
 5 x  50 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 
 5 x  60 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 
 5 x  70 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 
 5 x  80 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 
 5 x  90 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 
 5 x 100 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 
10 x  10 | 64  0  0 | 64  0  0 | 63  0  1 | 64  0  0 | 63  1  0 | 64  0  0 | 63  0  1 | 64  0  0 | 63  0  1 | 64  0  0 
10 x  20 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 
10 x  30 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 
10 x  40 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 
10 x  50 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 
10 x  60 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 
10 x  70 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 
10 x  80 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 
10 x  90 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 
10 x 100 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 
15 x  10 | 64  0  0 | 64  0  0 | 61  3  0 | 64  0  0 | 64  0  0 | 64  0  0 | 63  0  1 | 64  0  0 | 64  0  0 | 64  0  0 
15 x  20 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 
15 x  30 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 
15 x  40 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 
15 x  50 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 
15 x  60 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 
15 x  70 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 
15 x  80 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 
15 x  90 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 
15 x 100 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 
20 x  10 | 62  2  0 | 63  1  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 
20 x  20 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 
20 x  30 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 
20 x  40 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 
20 x  50 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 
20 x  60 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 
20 x  70 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 
20 x  80 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 
20 x  90 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 
20 x 100 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 
25 x  10 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 63  1  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 
25 x  20 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 
25 x  30 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 
25 x  40 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 | 64  0  0 
