         |    0,1   |    0,2   |    0,3   |    0,4   |    0,5   |    0,6   |    0,7   |    0,8   |    0,9   |    1,0   
---------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------
 5 x  10 | 39 17  8 | 18 31 15 | 11 39 14 | 18 40  6 | 12 47  5 |  8 47  9 | 10 49  5 |  6 55  3 |  2 58  4 |  5 58  1 
 5 x  20 | 16 18 30 |  9 19 36 |  7 36 21 |  3 46 15 |  4 45 15 |  3 51 10 |  1 53 10 |  2 55  7 |  0 58  6 |  3 52  9 
 5 x  30 | 11 12 41 |  9 24 31 |  6 34 24 |  2 43 19 |  2 44 18 |  1 58  5 |  2 54  8 |  4 52  8 |  2 50 12 |  3 55  6 
 5 x  40 |  7  9 48 |  4 23 37 |  2 39 23 |  5 49 10 |  2 50 12 |  4 47 13 |  1 55  8 |  0 58  6 |  0 58  6 |  1 53 10 
 5 x  50 |  6  6 52 |  2 27 35 |  2 38 24 |  3 45 16 |  3 49 12 |  2 48 14 |  0 55  9 |  0 60  4 |  0 58  6 |  3 54  7 
 5 x  60 | 10  8 46 |  3 34 27 |  1 46 17 |  2 53  9 |  2 54  8 |  2 52 10 |  0 58  6 |  1 53 10 |  2 59  3 |  1 62  1 
 5 x  70 |  3 12 49 |  2 36 26 |  4 44 16 |  0 50 14 |  2 52 10 |  0 60  4 |  2 54  8 |  1 55  8 |  0 60  4 |  1 59  4 
 5 x  80 |  7 14 43 |  2 41 21 |  1 44 19 |  0 54 10 |  0 57  7 |  0 56  8 |  0 52 12 |  0 60  4 |  0 57  7 |  0 58  6 
 5 x  90 |  3 18 43 |  1 41 22 |  1 46 17 |  0 53 11 |  1 49 14 |  1 58  5 |  1 54  9 |  1 57  6 |  0 56  8 |  0 64  0 
 5 x 100 |  2 20 42 |  3 39 22 |  3 41 20 |  0 58  6 |  1 57  6 |  0 58  6 |  0 56  8 |  0 55  9 |  1 58  5 |  0 60  4 
10 x  10 | 46 12  6 | 29 22 13 | 14 28 22 |  7 41 16 |  9 35 20 |  9 43 12 | 12 49  3 |  8 46 10 |  9 51  4 | 12 48  4 
10 x  20 | 16 19 29 |  6 16 42 |  8 16 40 |  8 29 27 |  3 33 28 |  4 38 22 |  1 50 13 |  5 39 20 |  2 49 13 |  1 54  9 
10 x  30 | 15  7 42 |  0  3 61 |  5 22 37 |  5 25 34 |  2 40 22 |  0 40 24 |  2 42 20 |  1 47 16 |  1 44 19 |  0 45 19 
